gene_symbol,direction_in_PRFT_high,log2FC,FDR,rank,used_for_CMap,source_DEG_file,comment
HNMT,upregulated_in_PRFT_high,2.62667330927561,4.75279400780901e-08,1,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CTSG,upregulated_in_PRFT_high,2.59955792568834,3.94345089395433e-06,2,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CLTCL1,upregulated_in_PRFT_high,2.40108503074046,8.01038726141318e-07,3,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MOSC1,upregulated_in_PRFT_high,2.39884448008555,2.85987201507874e-07,4,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
ADAMTS2,upregulated_in_PRFT_high,2.34228747661054,0.000138853523153773,5,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PPARG,upregulated_in_PRFT_high,2.28438434910453,1.10314487653471e-05,6,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PPARGC1A,upregulated_in_PRFT_high,2.18576772253409,0.000241672610185163,7,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
COL4A5,upregulated_in_PRFT_high,2.18571245656243,0.00865810409133909,8,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
UGGT2,upregulated_in_PRFT_high,2.18307055600108,0.000192914099432487,9,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CES1,upregulated_in_PRFT_high,2.1309672146485,0.00186374131500865,10,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PTGFR,upregulated_in_PRFT_high,2.11386176156108,1.24495243272235e-05,11,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
