Name,Perturbagen,Perturbation Type,Dose,Tissue,Cell Line,Disease,Timepoint,Data Level,Creation Time,z-score (up),z-score (down),log p-val (Fisher),log p-val (avg),p-value (up),z-score (sum),p-value (down),FDR (up),FDR (down),p-value Bonferroni (up),p-value Bonferroni (down),source_file,import_note
REP.A014_YAPC_24H_L23_ketoconazole_0.125uM,ketoconazole,Chemical,0.125 uM,pancreas,YAPC,pancreatic carcinoma,24 h,5,2021-05-22,-8.0212488555984,-7.1749340990008506,62.38196533283911,28.639374271079888,1.1102230246251565e-15,-15.19618295459925,7.285283487590277e-13,1.0126621763362209e-11,9.146364776668747e-9,7.696232540155279e-10,5.050267792849894e-7,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
LJP009_HME1_24H_M08_SB-239063_3.33uM,SB-239063,Chemical,3.33 uM,breast,HME1,leukemia,24 h,5,2021-05-18,-8.2886374597274,-6.699278564298783,60.62725480287115,25.276738051406944,2.220446049250313e-16,-14.987916024026184,2.106093077713922e-11,2.2973828478075458e-12,6.79058285054631e-8,1.5392465080310558e-10,0.000014599753128674564,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A010_HELA_24H_H22_AT-7519_0.37uM,AT-7519,Chemical,0.37 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-21,-8.148258442559674,-5.588177420729269,52.937963139840704,18.28060409254129,4.440892098500626e-16,-13.736435863288943,2.3007239002836855e-8,4.397847165803017e-12,0.000006970700692898404,3.0784930160621116e-10,0.01594896318535155,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
PBIOA014_HEPG2_24H_C16_dorsomorphin_0.37uM,dorsomorphin,Chemical,0.37 uM,liver,HEPG2,carcinoma,24 h,5,2021-05-20,-7.541368164841168,-5.77812373990005,49.38995325556584,19.391298997072777,4.6851411639181606e-14,-13.319491904741216,7.57692797392906e-9,1.5106093636955945e-10,0.0000032786767324889095,3.247810131945528e-8,0.005252440125447233,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.B013_HELA_24H_D22_clonazepam_0.08uM,clonazepam,Chemical,0.08 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-22,-6.744249994470886,-6.489091584076851,48.05983517005926,23.69677152371144,1.5469181491312156e-11,-13.233341578547737,8.677836227377611e-11,1.1845417290217847e-8,1.522938288699132e-7,0.000010723468647499956,0.000060156062403615707,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A006_HELA_24H_L04_OCO-1112_0.37uM,OCO-1112,Chemical,0.37 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-21,-8.18858500959056,-4.902247157274702,49.911694580542026,14.561188371750793,2.220446049250313e-16,-13.090832166865262,9.488252548095488e-7,2.2973828478075458e-12,0.00008868129425806598,1.5392465080310558e-10,0.6577398990128014,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.B028_HELA_24H_G15_bortezomib_20uM,bortezomib,Chemical,20 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-23,-7.5250520030790105,-5.558138173764626,47.98220674824724,18.10816215036268,5.306866057708248e-14,-13.083190176843637,2.73372140480177e-8,1.6496857193696067e-10,0.000007892780856433399,3.678799154194223e-8,0.01895056683629659,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
DOSVAL004_HA1E_24H_D05_BRD-K96977520_10uM,BRD-K96977520,Chemical,10 uM,kidney,HA1E,24 h,5,2021-05-09,-8.465495922172725,-4.41205461600844,744.4400719213812,12.181585344077096,0,-12.877550538181165,0.00001024789577686036,6.9895e-320,0.0004596864935263527,3.424937e-318,1,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
ERG017_VCAP_24H_E08_BRD-K94169505_3.33uM,BRD-K94169505,Chemical,3.33 uM,prostate gland,VCAP,prostate adenocarcinoma,24 h,5,2021-05-10,-5.7052269910181845,-7.165428008189255,46.14603769614069,18.960828103800413,1.1652466769263015e-8,-12.870654999207439,7.809308755213351e-13,0.0000016786501977254077,9.333672359905557e-9,0.00807766475145466,5.413529968745223e-7,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A010_HA1E_24H_I18_vardenafil_0.04uM,vardenafil,Chemical,0.04 uM,kidney,HA1E,24 h,5,2021-05-21,-6.265133271154023,-6.517229612879175,45.061221173358774,22.223691254140682,3.7409630948559425e-10,-12.782362884033198,7.197420437421442e-11,1.3005475084255577e-7,1.3707032441008532e-7,0.0002593291731800562,0.00004989359808527105,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
