drug_name,metric_name,metric_direction_note,matched_samples,high_risk_samples,low_risk_samples,median_high,median_low,difference,P.Value,FDR,group_difference_interpretation,abs_difference
Venetoclax,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,367,182,185,194.904778187612,116.783877999794,78.1209001878175,1.75532663957582e-12,2.72075629134251e-10,Higher high-risk metric suggests greater ex vivo resistance,78.1209001878175
Cediranib (AZD2171),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,454,229,225,247.202693582769,268.194808443832,-20.992114861063,7.89456812022743e-09,6.11829029317626e-07,Lower high-risk metric suggests greater ex vivo sensitivity,20.992114861063
Motesanib (AMG-706),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,450,225,225,217.494075927748,250.425829157485,-32.931753229737,1.19417757699071e-08,6.16991748111868e-07,Lower high-risk metric suggests greater ex vivo sensitivity,32.931753229737
Selumetinib (AZD6244),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,456,230,226,179.118779853485,225.803381483796,-46.6846016303115,5.48867854093911e-08,2.12686293461391e-06,Lower high-risk metric suggests greater ex vivo sensitivity,46.6846016303115
Linifanib (ABT-869),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,453,226,227,179.065412972978,215.341335484531,-36.2759225115535,1.78055744390123e-07,5.05478702356664e-06,Lower high-risk metric suggests greater ex vivo sensitivity,36.2759225115535
17-AAG (Tanespimycin),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,449,225,224,137.204105775559,165.370419423343,-28.166313647784,1.95669175105806e-07,5.05478702356664e-06,Lower high-risk metric suggests greater ex vivo sensitivity,28.166313647784
Nilotinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,472,236,236,217.001153069221,238.791770299564,-21.7906172303425,2.62452975067704e-07,5.81145873364201e-06,Lower high-risk metric suggests greater ex vivo sensitivity,21.7906172303425
GSK-1838705A,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,453,228,225,221.984420427178,201.134461094813,20.8499593323645,4.46599587682616e-07,8.65286701135068e-06,Higher high-risk metric suggests greater ex vivo resistance,20.8499593323645
AT7519,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,446,227,219,123.934482248352,136.558939930588,-12.624457682236,1.29035555594835e-05,0.000222227901302216,Lower high-risk metric suggests greater ex vivo sensitivity,12.624457682236
Panobinostat,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,286,149,137,61.885909027695,85.8286919779153,-23.9427829502203,3.04902719171e-05,0.000436389677062361,Lower high-risk metric suggests greater ex vivo sensitivity,23.9427829502203
INK-128,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,458,232,226,106.32384186666,129.360663037599,-23.0368211709385,3.30007805477113e-05,0.000436389677062361,Lower high-risk metric suggests greater ex vivo sensitivity,23.0368211709385
Lenalidomide,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,265,135,130,263.598346917292,237.946424281997,25.6519226352955,3.37850072564409e-05,0.000436389677062361,Higher high-risk metric suggests greater ex vivo resistance,25.6519226352955
PHA-665752,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,452,229,223,225.740326292326,211.480273442085,14.260052850241,7.39896515823684e-05,0.000882184307328239,Higher high-risk metric suggests greater ex vivo resistance,14.260052850241
MK-2206,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,448,221,227,202.40088306746,222.938274283988,-20.537391216528,8.09339705420473e-05,0.000896054673858381,Lower high-risk metric suggests greater ex vivo sensitivity,20.537391216528
Vismodegib (GDC-0449),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,457,227,230,280.810213738086,285.626400826887,-4.81618708880143,0.000158356949511363,0.00163635514495075,Lower high-risk metric suggests greater ex vivo sensitivity,4.81618708880143
Dasatinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,493,248,245,156.907021494138,187.739912282774,-30.832890788636,0.000214110408207833,0.00207419457951338,Lower high-risk metric suggests greater ex vivo sensitivity,30.832890788636
Rapamycin,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,466,233,233,158.492480860616,175.830069164166,-17.33758830355,0.000346896624667363,0.00316288098961419,Lower high-risk metric suggests greater ex vivo sensitivity,17.33758830355
DBZ,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,366,185,181,247.605396659366,230.508214553711,17.097182105655,0.000522256446678087,0.00449720829083908,Higher high-risk metric suggests greater ex vivo resistance,17.097182105655
PHT-427,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,448,223,225,271.078928227995,280.264684020775,-9.18575579278001,0.000966747936752399,0.00788662790508536,Lower high-risk metric suggests greater ex vivo sensitivity,9.18575579278001
NF-kB Activation Inhibitor,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,441,221,220,212.610288930188,196.154018962408,16.4562699677805,0.00126222435824092,0.00978223877636714,Higher high-risk metric suggests greater ex vivo resistance,16.4562699677805
Doramapimod (BIRB 796),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,454,228,226,161.720882287975,181.032490853194,-19.3116085652195,0.00252041496797257,0.0179722057627261,Lower high-risk metric suggests greater ex vivo sensitivity,19.3116085652195
Trametinib (GSK1120212),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,484,242,242,110.468192550742,137.263964595485,-26.795772044743,0.00255089372116112,0.0179722057627261,Lower high-risk metric suggests greater ex vivo sensitivity,26.795772044743
Flavopiridol,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,451,226,225,101.793963126414,119.533017411849,-17.739054285435,0.00282657824555385,0.0187022322430819,Lower high-risk metric suggests greater ex vivo sensitivity,17.739054285435
KU-55933,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,453,227,226,246.257608307172,239.173665078466,7.08394322870601,0.00289582950860622,0.0187022322430819,Higher high-risk metric suggests greater ex vivo resistance,7.08394322870601
Ibrutinib (PCI-32765),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,438,216,222,191.185967399275,208.979951790214,-17.7939843909395,0.0031369135363716,0.0193482521707477,Lower high-risk metric suggests greater ex vivo sensitivity,17.7939843909395
SR9011,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,266,132,134,260.415231226326,247.243408770962,13.1718224553649,0.00324551326735123,0.0193482521707477,Higher high-risk metric suggests greater ex vivo resistance,13.1718224553649
GSK-2879552,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,84,37,47,274.519150431021,246.314324860686,28.204825570335,0.00398250131140087,0.0220417675141369,Higher high-risk metric suggests greater ex vivo resistance,28.204825570335
NVP-TAE684,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,451,227,224,199.98013567657,188.221812222936,11.758323453634,0.00401085021612111,0.0220417675141369,Higher high-risk metric suggests greater ex vivo resistance,11.758323453634
