drug_name,metric_name,metric_direction_note,matched_samples,spearman_rho,P.Value,FDR,association_interpretation,abs_spearman_rho
Venetoclax,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,367,0.421462112938177,3.09147405189134e-17,4.79178478043158e-15,Higher risk associated with greater ex vivo resistance,0.421462112938177
Selumetinib (AZD6244),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,456,-0.325576626489229,1.01491216191382e-12,7.86556925483213e-11,Higher risk associated with greater ex vivo sensitivity,0.325576626489229
Cediranib (AZD2171),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,454,-0.300605833714408,6.18138334061316e-11,3.19371472598346e-09,Higher risk associated with greater ex vivo sensitivity,0.300605833714408
17-AAG (Tanespimycin),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,449,-0.292231678863082,2.73055584901213e-10,1.0580903914922e-08,Higher risk associated with greater ex vivo sensitivity,0.292231678863082
Linifanib (ABT-869),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,453,-0.287466840247267,4.56024279678799e-10,1.41367526700428e-08,Higher risk associated with greater ex vivo sensitivity,0.287466840247267
Panobinostat,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,286,-0.346446528489084,1.73594223329806e-09,4.48451743601998e-08,Higher risk associated with greater ex vivo sensitivity,0.346446528489084
Nilotinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,472,-0.268350204507858,3.14984108806274e-09,6.97464812356749e-08,Higher risk associated with greater ex vivo sensitivity,0.268350204507858
AT7519,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,446,-0.256654692175502,3.85526891108677e-08,6.88708174666077e-07,Higher risk associated with greater ex vivo sensitivity,0.256654692175502
Motesanib (AMG-706),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,450,-0.25525333306771,3.99895069160948e-08,6.88708174666077e-07,Higher risk associated with greater ex vivo sensitivity,0.25525333306771
GSK-1838705A,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,453,0.225672196989376,1.21835263994825e-06,1.88844659191979e-05,Higher risk associated with greater ex vivo resistance,0.225672196989376
