cell_type,n_cells,mean_score,median_score,score_name
lateEry,1328,1.03097507138444,0.918783445354683,Ferroptosis_tolerance_set_score
earlyEry,1117,0.751486188606345,0.690731037602839,Ferroptosis_tolerance_set_score
ProMono,1146,0.364023454892735,0.275100768980042,Ferroptosis_tolerance_set_score
cDC-like,2068,0.343928613770615,0.318917372114476,Ferroptosis_tolerance_set_score
ProMono-like,1416,0.330929288441407,0.291256242490265,Ferroptosis_tolerance_set_score
cDC,849,0.324464562818642,0.266408780779121,Ferroptosis_tolerance_set_score
Mono-like,2550,0.31278955928491,0.31992130996139,Ferroptosis_tolerance_set_score
Mono,2758,0.270043462250669,0.286064827045033,Ferroptosis_tolerance_set_score
Prog-like,3696,0.189782478350581,0.168445582453838,Ferroptosis_tolerance_set_score
GMP,918,0.152479563216239,0.120626437640258,Ferroptosis_tolerance_set_score
GMP-like,1823,0.120980020161679,0.0997550981912353,Ferroptosis_tolerance_set_score
Plasma,1146,0.0598666889000829,-0.229298740843658,Ferroptosis_tolerance_set_score
HSC-like,1936,-0.005929352162444,-0.241768705679023,Ferroptosis_tolerance_set_score
Prog,1709,-0.0394111056275787,-0.251702406480077,Ferroptosis_tolerance_set_score
unannotated,783,-0.0589027798885226,-0.261794623783274,Ferroptosis_tolerance_set_score
HSC,1709,-0.0631829693352177,-0.255586060782617,Ferroptosis_tolerance_set_score
pDC,225,-0.267723845481265,-0.337803286561549,Ferroptosis_tolerance_set_score
ProB,298,-0.28135749284351,-0.412794801784394,Ferroptosis_tolerance_set_score
B,520,-0.42442239366926,-0.317103673323183,Ferroptosis_tolerance_set_score
NK,1969,-0.580150128539233,-0.463348356259967,Ferroptosis_tolerance_set_score
T,7105,-0.58561986125331,-0.481339979253365,Ferroptosis_tolerance_set_score
CTL,1338,-0.637612627787072,-0.974379139756712,Ferroptosis_tolerance_set_score
Mono-like,2550,0.692607376337695,1.22122642309646,Immune_checkpoint_set_score
cDC-like,2068,0.487078077826842,-0.36643822397749,Immune_checkpoint_set_score
Mono,2758,0.384702945011576,-0.382121589534673,Immune_checkpoint_set_score
cDC,849,0.239371740758335,-0.41768527762913,Immune_checkpoint_set_score
Prog-like,3696,0.19936166821163,-0.44684308401713,Immune_checkpoint_set_score
ProMono-like,1416,0.191783677949487,-0.433368643186312,Immune_checkpoint_set_score
HSC-like,1936,0.125160103691993,-0.453690750668858,Immune_checkpoint_set_score
ProMono,1146,0.0639629846702558,-0.464072696882768,Immune_checkpoint_set_score
