cluster,n_cells,mean_score,median_score,score_name
Cluster 6,3870,-0.052916139640227,-0.128469924590795,risk_score
Cluster 10,3317,-0.0353214993543241,-0.128469924590795,risk_score
Cluster 1,2682,0.0959230173914576,0.0599138720073959,risk_score
Cluster 9,2633,-0.0190382043870637,-0.0790188793401976,risk_score
Cluster 4,4583,0.166198089058171,0.135112290114307,risk_score
Cluster 8,2124,-0.0506343171021989,-0.128469924590795,risk_score
Cluster 12,2789,0.0873826292731219,0.0300812967037693,risk_score
Cluster 5,1735,0.0209568828666684,-0.0243633069182291,risk_score
Cluster 11,3498,-0.0742587489743155,-0.128469924590795,risk_score
Cluster 7,4828,-0.0422759582957798,-0.128469924590795,risk_score
Cluster 2,1103,-0.0492469626719768,-0.128469924590795,risk_score
Cluster 3,5245,-0.0574290054871956,-0.128469924590795,risk_score
Cluster 6,3870,-0.329023305357302,-0.354455201218572,PRFT_score
Cluster 10,3317,0.43784170174243,0.393143795104328,PRFT_score
Cluster 1,2682,0.7303154305562,0.708461530010769,PRFT_score
Cluster 9,2633,1.13466134992285,1.08466672719464,PRFT_score
Cluster 4,4583,0.137322879366132,0.0825720045711118,PRFT_score
Cluster 8,2124,0.494507826903066,0.438566140741217,PRFT_score
Cluster 12,2789,-0.0050337025419071,-0.0452264451001048,PRFT_score
Cluster 5,1735,-0.401201934018262,-0.46108668675793,PRFT_score
Cluster 11,3498,-0.0667763200376391,-0.0970842572400638,PRFT_score
Cluster 7,4828,-0.647452419128237,-0.705295888579693,PRFT_score
Cluster 2,1103,0.721875753301776,0.653091837684307,PRFT_score
Cluster 3,5245,-0.673322438410027,-0.709623095061767,PRFT_score
Cluster 6,3870,-0.294051967455727,-0.405954661472578,Proteostasis_core_score
Cluster 10,3317,0.551621361646745,0.52298268484492,Proteostasis_core_score
Cluster 1,2682,0.960580892161064,0.943207074477023,Proteostasis_core_score
Cluster 9,2633,1.14733086178503,1.13529249045192,Proteostasis_core_score
Cluster 4,4583,-0.0194025688001647,-0.0897449816262017,Proteostasis_core_score
Cluster 8,2124,0.648511677573826,0.565558789453089,Proteostasis_core_score
Cluster 12,2789,-0.2177260238329,-0.21206069144516,Proteostasis_core_score
Cluster 5,1735,-0.561598534598102,-0.551729341366241,Proteostasis_core_score
Cluster 11,3498,-0.090059008156993,-0.125387207520389,Proteostasis_core_score
Cluster 7,4828,-0.631534375275275,-0.766085435583506,Proteostasis_core_score
Cluster 2,1103,1.37991503102003,1.34797061213671,Proteostasis_core_score
Cluster 3,5245,-0.791958904022006,-0.809745366807985,Proteostasis_core_score
Cluster 6,3870,-0.363994643258876,-0.325650354730472,Ferroptosis_tolerance_set_score
Cluster 10,3317,0.324062041838117,0.260490831365726,Ferroptosis_tolerance_set_score
Cluster 1,2682,0.500049968951338,0.334782232037434,Ferroptosis_tolerance_set_score
Cluster 9,2633,1.12199183806068,0.952124749639068,Ferroptosis_tolerance_set_score
Cluster 4,4583,0.294048327532429,0.314677055682111,Ferroptosis_tolerance_set_score
Cluster 8,2124,0.340503976232307,0.218259393252738,Ferroptosis_tolerance_set_score
Cluster 12,2789,0.207658618749087,0.269341336068792,Ferroptosis_tolerance_set_score
Cluster 5,1735,-0.240805333438421,-0.280367473951202,Ferroptosis_tolerance_set_score
Cluster 11,3498,-0.0434936319182842,-0.258835649076578,Ferroptosis_tolerance_set_score
Cluster 7,4828,-0.663370462981198,-0.974405559173736,Ferroptosis_tolerance_set_score
Cluster 2,1103,0.0638364755835256,-0.221425754570484,Ferroptosis_tolerance_set_score
Cluster 3,5245,-0.554685972798047,-0.420179028842624,Ferroptosis_tolerance_set_score
Cluster 6,3870,-0.258634313069237,-0.116362747845901,SLC7A11_GPX4_GSH_axis_score
Cluster 10,3317,0.318268518928897,0.0139073745279095,SLC7A11_GPX4_GSH_axis_score
Cluster 1,2682,0.344810016349939,0.021013666839419,SLC7A11_GPX4_GSH_axis_score
Cluster 9,2633,1.04952080828571,0.802562981059052,SLC7A11_GPX4_GSH_axis_score
Cluster 4,4583,-0.0744051828190822,-0.0552629179715632,SLC7A11_GPX4_GSH_axis_score
Cluster 8,2124,0.426562214809449,0.353563150009954,SLC7A11_GPX4_GSH_axis_score
Cluster 12,2789,-0.0724295105543761,-0.0472995853812767,SLC7A11_GPX4_GSH_axis_score
Cluster 5,1735,-0.187896055171643,-0.0543701676811712,SLC7A11_GPX4_GSH_axis_score
Cluster 11,3498,-0.22113045006617,-0.119380243827422,SLC7A11_GPX4_GSH_axis_score
Cluster 7,4828,-0.364211544998019,-0.872807923899748,SLC7A11_GPX4_GSH_axis_score
Cluster 2,1103,0.0650139049594596,-0.0261949685164412,SLC7A11_GPX4_GSH_axis_score
Cluster 3,5245,-0.251620009933428,-0.0615835900275297,SLC7A11_GPX4_GSH_axis_score
Cluster 6,3870,-0.441504403395146,-0.370435981577429,JAK2_STAT5_PDL1_set_score
Cluster 10,3317,-0.211539212292967,-0.391661383374136,JAK2_STAT5_PDL1_set_score
Cluster 1,2682,0.259992705428377,0.202575910829835,JAK2_STAT5_PDL1_set_score
Cluster 9,2633,0.219488298263136,0.0861246297528511,JAK2_STAT5_PDL1_set_score
Cluster 4,4583,0.328333971308701,0.319323016322105,JAK2_STAT5_PDL1_set_score
Cluster 8,2124,0.550976500272873,0.359998873423809,JAK2_STAT5_PDL1_set_score
Cluster 12,2789,-0.00180846172980203,-0.262445278777598,JAK2_STAT5_PDL1_set_score
Cluster 5,1735,-0.135700066791428,-0.251203950996764,JAK2_STAT5_PDL1_set_score
Cluster 11,3498,-0.410930538398546,-0.412694499300907,JAK2_STAT5_PDL1_set_score
Cluster 7,4828,0.001019977216526,-0.223233752531557,JAK2_STAT5_PDL1_set_score
Cluster 2,1103,0.0471684431573729,-0.250286895309381,JAK2_STAT5_PDL1_set_score
Cluster 3,5245,0.0154476648433871,-0.216947483706748,JAK2_STAT5_PDL1_set_score
Cluster 6,3870,-0.153939517596543,-0.652425595333686,Myeloid_suppressive_set_score
Cluster 10,3317,-0.536512202578473,-0.766190718087962,Myeloid_suppressive_set_score
Cluster 1,2682,1.09933593491762,1.14734556245188,Myeloid_suppressive_set_score
Cluster 9,2633,-0.221434287129041,-0.250374810451025,Myeloid_suppressive_set_score
Cluster 4,4583,1.59826569524599,1.29441032448043,Myeloid_suppressive_set_score
Cluster 8,2124,-0.625496416116995,-0.80661364468363,Myeloid_suppressive_set_score
Cluster 12,2789,0.0799305028492701,-0.0505078166760358,Myeloid_suppressive_set_score
Cluster 5,1735,0.341294191836163,0.276195186297334,Myeloid_suppressive_set_score
Cluster 11,3498,-0.51859347424757,-0.704467087657451,Myeloid_suppressive_set_score
Cluster 7,4828,-0.366841504997618,-0.656056397123717,Myeloid_suppressive_set_score
Cluster 2,1103,-0.339980076807727,-0.687039239065306,Myeloid_suppressive_set_score
Cluster 3,5245,-0.541705566326719,-0.663075947251108,Myeloid_suppressive_set_score
Cluster 6,3870,-0.205595607852973,-0.410174933559492,Immune_checkpoint_set_score
Cluster 10,3317,0.0218374010810863,-0.529898653728409,Immune_checkpoint_set_score
Cluster 1,2682,0.189909612520154,-0.52062116987768,Immune_checkpoint_set_score
Cluster 9,2633,-0.522724779874085,-0.834730265966606,Immune_checkpoint_set_score
Cluster 4,4583,0.557255372817673,-0.352742890674034,Immune_checkpoint_set_score
Cluster 8,2124,0.364295291164854,-0.445959514126585,Immune_checkpoint_set_score
Cluster 12,2789,0.463985787745834,-0.390294611022219,Immune_checkpoint_set_score
Cluster 5,1735,0.0410524965118462,-0.393828890584401,Immune_checkpoint_set_score
Cluster 11,3498,-0.329689306946809,-0.494114073161316,Immune_checkpoint_set_score
Cluster 7,4828,-0.243006136454681,-0.40178101959931,Immune_checkpoint_set_score
Cluster 2,1103,-0.18882465476496,-0.484394804365315,Immune_checkpoint_set_score
Cluster 3,5245,-0.10828779622219,-0.391619965858037,Immune_checkpoint_set_score
Cluster 6,3870,-0.0558495006404,-0.594921551274712,Stemness_quiescence_set_score
Cluster 10,3317,0.134136558964035,0.103556258824976,Stemness_quiescence_set_score
Cluster 1,2682,-0.244750844208427,-0.208346510574922,Stemness_quiescence_set_score
Cluster 9,2633,0.175002730280311,-0.0396301087147304,Stemness_quiescence_set_score
Cluster 4,4583,-0.236950952511854,-0.621313730103608,Stemness_quiescence_set_score
Cluster 8,2124,1.49105183198432,1.22678979499692,Stemness_quiescence_set_score
Cluster 12,2789,-0.142122682633304,-0.617442877208703,Stemness_quiescence_set_score
Cluster 5,1735,-0.196569656140273,-0.611812545725205,Stemness_quiescence_set_score
Cluster 11,3498,0.998864353233219,0.969641999274042,Stemness_quiescence_set_score
Cluster 7,4828,-0.483832001769897,-0.630111123046574,Stemness_quiescence_set_score
Cluster 2,1103,0.132093502066975,0.173126042217947,Stemness_quiescence_set_score
Cluster 3,5245,-0.511069384102235,-0.630111123046574,Stemness_quiescence_set_score
Cluster 6,3870,0.180798595520754,0.0472725319523183,LSC17_core_score
Cluster 10,3317,0.59780369586826,0.555967222571511,LSC17_core_score
Cluster 1,2682,-0.515575014591128,-0.614014867014329,LSC17_core_score
Cluster 9,2633,0.691244692600275,0.505992587293112,LSC17_core_score
Cluster 4,4583,-0.654524418166277,-0.745780449874028,LSC17_core_score
Cluster 8,2124,1.71069370980507,1.62424700465623,LSC17_core_score
Cluster 12,2789,-0.179687676767411,-0.471731062488705,LSC17_core_score
Cluster 5,1735,-0.296455282129345,-0.657474484395179,LSC17_core_score
Cluster 11,3498,0.889272970206979,0.731414823021415,LSC17_core_score
Cluster 7,4828,-0.490432135621789,-0.669248613125692,LSC17_core_score
Cluster 2,1103,-0.65567519067434,-0.741463269339507,LSC17_core_score
Cluster 3,5245,-0.525809429971949,-0.667678729294956,LSC17_core_score
Cluster 6,3870,-0.112826949528751,-0.3294246339368,Relapse_resistance_set_score
Cluster 10,3317,0.223059308609434,0.252219673345065,Relapse_resistance_set_score
Cluster 1,2682,0.283595651860252,0.280288510695876,Relapse_resistance_set_score
Cluster 9,2633,0.745584446968927,0.701226510023664,Relapse_resistance_set_score
Cluster 4,4583,-0.244648125573587,-0.380077774445224,Relapse_resistance_set_score
Cluster 8,2124,0.756422804801952,0.483799401606047,Relapse_resistance_set_score
Cluster 12,2789,-0.235284132381121,-0.4044114548886,Relapse_resistance_set_score
Cluster 5,1735,-0.385923111742454,-0.370337998205584,Relapse_resistance_set_score
Cluster 11,3498,0.609892550894747,0.475604120627707,Relapse_resistance_set_score
Cluster 7,4828,-0.449235342072688,-0.379683770552036,Relapse_resistance_set_score
Cluster 2,1103,-0.0667345868847205,-0.332135380721943,Relapse_resistance_set_score
Cluster 3,5245,-0.396091156362272,-0.370968404434686,Relapse_resistance_set_score
