package_or_tool,detected_in_script,usage_context,version_found,version_source,version_status,required_for_reproduction,comment
data.table,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
dplyr,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
edgeR,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
stats,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
survival,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
utils,scripts/04_preprocess_tcga_laml_xena.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
data.table,scripts/09_calculate_prft_score_and_group.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
ggplot2,scripts/09_calculate_prft_score_and_group.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
stats,scripts/09_calculate_prft_score_and_group.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
data.table,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
ggplot2,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
grDevices,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
stats,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
survival,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
survivalROC,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
timeROC,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
utils,scripts/17_external_validation_cross_platform_signature_geo.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
data.table,scripts/20_beataml_drug_sensitivity_analysis.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
grDevices,scripts/20_beataml_drug_sensitivity_analysis.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
graphics,scripts/20_beataml_drug_sensitivity_analysis.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
stats,scripts/20_beataml_drug_sensitivity_analysis.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
Matrix,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
data.table,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
dplyr,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
ggplot2,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
ggrepel,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
irlba,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
matrixStats,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
patchwork,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
stats,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
utils,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
uwot,scripts/21_single_cell_prft_signature_localization.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
csv,scripts/generate_phase17A_lite_cmap_beataml_prep.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
os,scripts/generate_phase17A_lite_cmap_beataml_prep.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
pathlib,scripts/generate_phase17A_lite_cmap_beataml_prep.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
collections,scripts/generate_phase17B_v2_sigcom_beataml_curation.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
csv,scripts/generate_phase17B_v2_sigcom_beataml_curation.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
os,scripts/generate_phase17B_v2_sigcom_beataml_curation.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
pathlib,scripts/generate_phase17B_v2_sigcom_beataml_curation.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
re,scripts/generate_phase17B_v2_sigcom_beataml_curation.py,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
survival,scripts/phase1_run_reproduction.R,import/library usage detected by static scan,,not found in staged script,version_not_found_to_verify,yes,Version not invented; verify manually if exact environment lock is required.
utils,scripts/phase1_run_reproduction.R,import/library usage detected by static scan,,not found in staged script,base_R_or_builtin,base_or_builtin,Version not invented; verify manually if exact environment lock is required.
