check_item,category,file_path,status,sha256,required,notes
analysis scripts or code,structure,code/01_download_tcga_laml.R,present,de25398bd83ce53cd0af970743fc0cf622d91ed0728e1e3581694f6f7770e92b,true,
analysis scripts or code,structure,code/01_download_tcga_laml_xena.R,present,d894afeb5d3b466cd9b5fa8deeb979f71052a33fd4c276567ad7057ff2537635,true,
analysis scripts or code,structure,code/04_preprocess_tcga_laml.R,present,fb9483c1a64c6d99a765c524a61681eff681d396b4807ea2ac6a5f20ec9c8947,true,
analysis scripts or code,structure,code/04_preprocess_tcga_laml_xena.R,present,51fd380cf206a94c2c5b6eab592936dc8f31cf1e6af3ad55fc6fbb847c139296,true,
analysis scripts or code,structure,code/04_preprocess_tcga_laml_xena__dup2.R,present,51fd380cf206a94c2c5b6eab592936dc8f31cf1e6af3ad55fc6fbb847c139296,true,
analysis scripts or code,structure,code/07_prepare_gene_sets.R,present,30d9f994883531cb82768537a5841c774b9810177b022e088f019c17858aab13,true,
analysis scripts or code,structure,code/08_calculate_ssgsea_scores.R,present,f87fe43c1fba701b3ba96e039c2af987dcddb34156e9c652ca9e087af5d1bfb8,true,
analysis scripts or code,structure,code/09_calculate_prft_score_and_group.R,present,1643d401cda07627da8054d1ae3faa7fab1ede3e576b85feabf564104e42bfb5,true,
analysis scripts or code,structure,code/09_calculate_prft_score_and_group__dup2.R,present,1643d401cda07627da8054d1ae3faa7fab1ede3e576b85feabf564104e42bfb5,true,
analysis scripts or code,structure,code/10_deg_prft_high_low_tcga.R,present,a6f0632f123343a02ac13bd5ae32c7500782803e818eb59d9e5103298ba4eae1,true,
analysis scripts or code,structure,code/11_wgcna_prft_modules_tcga.R,present,10bc8253e490fb4034c2dccdb3f2fb465845cf09b120bbd4145f11db9d8e3ddd,true,
analysis scripts or code,structure,code/12_candidate_gene_selection_and_univariate_cox.R,present,336dd57a0f18664c77c53661feb3674e7e36907f4cdf6447ffb4a15fe4a4a54d,true,
analysis scripts or code,structure,code/13_lasso_cox_prft_signature_tcga.R,present,bbe2e8cb4ae7088a7ad48fef96d5fd96cdaafe5b2bc6b8fdc14673ef666a78e1,true,
analysis scripts or code,structure,code/14_external_geo_dataset_feasibility_check.R,present,c0d10f86013f7d01d215bd979fc3a83b322aa6807a2be53b7f03a2d228f26589,true,
analysis scripts or code,structure,code/15_cross_platform_candidate_coverage_check.R,present,4921b406dd79c62c2463ea33b75ad21662e43c2c8662fc574dec22d1e6487ceb,true,
analysis scripts or code,structure,code/16_rebuild_cross_platform_lasso_signature_tcga.R,present,bf13881a757971c2daf33098dc5398268a13a868b151be8fb6d3b6f56f34613a,true,
analysis scripts or code,structure,code/17_external_validation_cross_platform_signature_geo.R,present,59ff7105a38dae11acb0b1772251b448b9030a30e7799c010089bc7b14749364,true,
analysis scripts or code,structure,code/19_immune_microenvironment_analysis_tcga.R,present,cdd15e949faf9632150793a82ee1b1a058308d7eac8c74d107db3be9a0f5fd72,true,
analysis scripts or code,structure,code/20_beataml_drug_sensitivity_analysis.R,present,98bc8d02b2ccf0e978b582c2f48056da3cbf4d9debc913ccd75c4c890ebc82cd,true,
analysis scripts or code,structure,code/20_beataml_drug_sensitivity_analysis__dup2.R,present,58f8807cad0c0b94e3d27e8d20c46330b430c59ad03d73bcfa9f48885d7f4f82,true,
analysis scripts or code,structure,code/21_single_cell_prft_signature_localization.R,present,6b4f0e23223217ecba37940b65cb77125b64f918e14fca19c594e8d98dc8f322,true,
analysis scripts or code,structure,code/22_make_workflow_and_prft_definition_figure.R,present,1d8c6711472cd6f05e13b13711b0ac6baac53a653e7a1d671a13fdec3c5495f3,true,
analysis scripts or code,structure,code/23_make_cross_platform_signature_formula_figure.R,present,3b698da8f4609ecef53a1dedeec43088e7271a284beda4408f43862352f8d9f4,true,
analysis scripts or code,structure,code/24_make_cox_summary_forest_plot.R,present,58442a2691a420128a1760c88156dcf9f19c209f7c07741289bc76c26ce76486,true,
analysis scripts or code,structure,code/28_update_review_copy_figure2.py,present,4e9c70fdcd32563717531ab3711412944e21c9a62fd75df1e53820e84f61cfeb,true,
analysis scripts or code,structure,code/29_redraw_graphical_abstract_prft_aml.R,present,99a3d8337a79717467906c025b27c634f9c4279845feba04c4ba133f3c4a1459,true,
analysis scripts or code,structure,code/32_import_user_graphical_abstract_and_finalize_package.R,present,0534f8b2553d0affec21819750352bb9cd5a575db5f4390a7333ade3bda54bcc,true,
analysis scripts or code,structure,code/35_check_final_docx_integrity.py,present,c0ffeb0f96cd3adb20df73fdcc293e5b2cf37aac8a172f34a15809fc408d0c4d,true,
analysis scripts or code,structure,code/44_rebuild_review_copy_with_embedded_figures.py,present,f18ab6aca046bc9ec14504d80896341ee54284c2728bca867222057f837dd9e9,true,
analysis scripts or code,structure,code/45_phase0_project_audit_reorganize.py,present,b2fb12778e79b163ee5a148f2211d5685df6d7705c1e08ab4af4daa6ed4b48de,true,
analysis scripts or code,structure,code/phase10E_submission_text_package.py,present,2ba6893949b4f03e79f1374a654f17d67b8f16b0d7c8cbf95881adbe24b96b99,true,
analysis scripts or code,structure,code/phase10F_final_fillable_package.py,present,2c1de5d55a924d8043711b3a42ad59e058264a501e61a382bd853620f0e90b1c,true,
