check_item,category,file_path,status,sha256,required,notes
Figure 2 v3,figure,figures/final/Figure_2_final_manual_assembled_no_title_v3.pdf,present,585e19e6d70e1a7ee481e36839e5fecb9c7906274ca426cd7f6e92cc5e963dbd,true,
Figure 7 v2,figure,figures/final/Figure_7_final_manual_assembled_no_title_v2.pdf,present,d9d992b98bf4cfec9051bf438fc839a3e7a3be047a3428509dc1ecee06f65f41,true,
Figure 3 final,figure,figures/main/Figure3_final.pdf,present,29026c4a1359091e5aa8b3dff432014b3ed2dab112e8fea20336cbd7d29f446f,true,
Figure 4 final,figure,figures/main/Figure4_final.pdf,present,24f5b8defecdf53db51f314db14b7c88e36f004a94a79d98e857e10e27aefbe9,true,
Figure 5 final,figure,figures/main/Figure5_final.pdf,present,b91dafb251216bf173931c1f5c86c311d9057e5ea52b61d993da2b7e2a645300,true,
Figure 6 final,figure,figures/main/Figure6_final.pdf,present,972974420542855a9d80d4c39a85370482fb83f126a5344e91241662b1f59d7e,true,
Supplementary Figure S1,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S1_final_manual_assembled.pdf,present,526de027dd805c99911bf05b0187f11c9701704f78a50d08b57ed39bcbd718de,true,
Supplementary Figure S2,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S2.pdf,present,6a8833201c0dc35351dbc555b0b871c2313df4562a892233a65620515d58ed2a,true,
Supplementary Figure S3,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_calibration_model2_1_3_5year.pdf,present,db2870517f3e241c24b57d3948e3989d6e9255027322394ee03d0e0cd701538a,true,
Supplementary Figure S3,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_DCA_3year_publication.pdf,present,5601d3f92d50efab83469500cbe0849c516dfa9dbbc8dcdd26729852423b71d1,true,
Supplementary Figure S3,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_forestplot_all_models_publication.pdf,present,65e3a9174985c1aee1483712e1ba1028ec1361cfa54047a966aeff25dfb1451b,true,
Supplementary Figure S3,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_nomogram_model2_publication.pdf,present,8c0337321dd62e924369d7bc166ff0ae03efdb6f60f50c7612517fe265daa76e,true,
Supplementary Figure S4,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_external_validation_bubbleplot.pdf,present,1dceb7efd4f31ee6e19b813a82d2643b1ae976cc782819f0681cff413da3a038,true,
Supplementary Figure S4,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_model_performance_heatmap.pdf,present,cfd4cb6a7e091872491a86f84577fa97ae90cc97064281fba39cfdb521f45156,true,
Supplementary Figure S4,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_top20_model_ranking.pdf,present,a79dd7cbdbab53c5fcaca7f2a0278141ab5b6e1ed88be7a3291405dc19852005,true,
Supplementary Figure S5,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S5__phase3A_PPI_external_validation_comparison.pdf,present,22916b280c52deaff31cf54cf3f79e45ff8d3b6b4419f0daa70c0898f16a4174,true,
Supplementary Figure S5,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S5__phase3A_PPI_vs_original_6gene_comparison.pdf,present,7a070527cb5018b621d6f18224e6a99f3f520ac02573948140cedc3399f10893,true,
Supplementary Figure S6,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_cytoHubba_like_ranking_heatmap.pdf,present,7ab5982e226132552b2bc9edbac69a25acddb4026e492eea845545649a4135c6,true,
Supplementary Figure S6,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_PPI_hub_overlap_barplot.pdf,present,f1490b409f3de668038aa6facc6d73dc054a140da029bea8bd71c459507ea405,true,
Supplementary Figure S6,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_PPI_network.pdf,present,2ad7ac1371287c1f950cbcb3664baa77ea6cf5a55ea54bf204c6a66b56250543,true,
Supplementary Figure S7,supplementary_figure,figures/supplementary_figures/Supplementary_Figure_S7__phase3C_BeatAML_drug_category_heatmap.pdf,present,15888066e5b17487a9f4ecc015bde9bb8072d933df73e9da07c040f850535c04,true,
