planned_combination_id,algorithm,feature_strategy,actual_genes,gene_count,converged,failure_reason,TCGA_C_index,TCGA_AUC_1year,TCGA_AUC_3year,TCGA_AUC_5year,TCGA_IBS,GSE37642_C_index,GSE37642_AUC_1year,GSE37642_AUC_3year,GSE37642_AUC_5year,GSE37642_HR,GSE37642_P_value,GSE12417_C_index,GSE12417_AUC_1year,GSE12417_AUC_3year,GSE12417_AUC_5year,GSE12417_HR,GSE12417_P_value,combined_GPL570_C_index,combined_GPL570_AUC_1year,combined_GPL570_AUC_3year,combined_GPL570_AUC_5year,combined_GPL570_HR,combined_GPL570_P_value,all_external_HR_direction_consistent,external_at_least_one_significant,combined_GPL570_significant,mean_external_C_index,mean_external_AUC_3year,combined_score_component,direction_score,gene_count_simplicity,biology_interpretability,external_overfit_gap,anti_overfitting_score,composite_score,composite_available_weight,overfitting_flag,composite_rank
M002,Elastic Net-Cox,FS01_all_33,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.661549797371976,0.74835000254017,0.71470572017558,0.823947751014628,0.226241554469056,0.596045197740113,0.62508275513162,0.678115857209669,0.617857803762153,3.90581552523524,0.00284398633115257,0.622718052738337,0.642966688535387,0.694609538305194,0.547453682452492,4.24524849694764,0.0188768308819513,0.60512584407612,0.627934554993862,0.682193472945639,0.618460972305915,4.04681056992006,0.000132145425058663,TRUE,TRUE,TRUE,0.60796303151819,0.684972956153501,1,1,0.84375,1,0.053586765853786,0.73206617073107,0.762821108606295,1,FALSE,1
M024,LASSO-Cox,FS03_unicox_p001,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.662900650865774,0.749619208118072,0.716545785055651,0.829528206197958,0.226313532446444,0.59334315892901,0.624232772555479,0.677866906181547,0.613959957847159,3.19377918791266,0.00274705477848614,0.619066937119676,0.638072112458975,0.695841053434279,0.555370910509463,3.47047244619736,0.0193295598874472,0.60354000409249,0.627143163242613,0.683186955386432,0.616717414772413,3.3056364685496,0.000130751177397804,TRUE,TRUE,TRUE,0.605316700047059,0.685631638334086,1,1,0.84375,1,0.0575839508187157,0.712080245906422,0.761060266895313,1,FALSE,2
M131,CoxBoost,FS14_original_6gene,CLCN5;ARHGEF5;ITGB2;TRIM32;SAT1;ACOX2,6,TRUE,"",0.663269065454992,0.751631503395958,0.718002614737923,0.831577834725385,0.226141698498612,0.594571358388602,0.622853587175748,0.673039321337313,0.609521993453399,2.70145120713009,0.00331323333295467,0.617849898580122,0.637186896081708,0.695575505093146,0.544965335785501,2.83986561439007,0.022144163320526,0.603846940863515,0.625604557449676,0.679268629802399,0.610927677866274,2.76260997685785,0.00017705984860185,TRUE,TRUE,TRUE,0.605422732610747,0.682627818744286,1,1,0.84375,1,0.0578463328442455,0.710768335778773,0.760280827888772,1,FALSE,3
M004,LASSO-Cox,FS01_all_33,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.664742723811863,0.750556470766163,0.716405018819724,0.838116070850235,0.226287417016021,0.593465978874969,0.621523309595922,0.669865645681607,0.605954128901856,2.50980356757162,0.00406054635603685,0.613387423935091,0.630791780642872,0.687929810114431,0.540518510330334,2.62121710115248,0.0250803066334238,0.602465725393902,0.623888554523485,0.676336370630237,0.606644378867727,2.56091624515165,0.00024138781173841,TRUE,TRUE,TRUE,0.603106376067988,0.678043942142092,1,1,0.84375,1,0.0616363477438754,0.691818261280623,0.75737663022335,1,FALSE,4
M034,LASSO-Cox,FS04_unicox_top30,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.664742723811863,0.750556470766163,0.716405018819724,0.838116070850235,0.226287417016021,0.593465978874969,0.621523309595922,0.669865645681607,0.605954128901856,2.50980356757162,0.00406054635603685,0.613387423935091,0.630791780642872,0.687929810114431,0.540518510330334,2.62121710115248,0.0250803066334238,0.602465725393902,0.623888554523485,0.676336370630237,0.606644378867727,2.56091624515165,0.00024138781173841,TRUE,TRUE,TRUE,0.603106376067988,0.678043942142092,1,1,0.84375,1,0.0616363477438754,0.691818261280623,0.75737663022335,1,FALSE,5
M124,LASSO-Cox,FS13_random_stability_top20,CLCN5;ITGB2;SAT1;ARHGEF5;TRIM32;ACOX2,6,TRUE,"",0.664742723811863,0.750556470766163,0.716405018819724,0.838116070850235,0.226287242484112,0.593465978874969,0.621523309595922,0.669865645681607,0.605954128901856,2.50984729610136,0.00406063153411657,0.613387423935091,0.630791780642872,0.687929810114431,0.540518510330334,2.6212529965406,0.0250794925358838,0.602465725393902,0.623888554523485,0.676336370630237,0.606644378867727,2.5609572015894,0.000241385471962234,TRUE,TRUE,TRUE,0.603106376067988,0.678043942142092,1,1,0.84375,1,0.0616363477438754,0.691818261280623,0.75737663022335,1,FALSE,6
BASELINE_6GENE_FIXED,Original fixed 6-gene formula,FS14_original_6gene,CLCN5;ARHGEF5;TRIM32;ITGB2;SAT1;ACOX2,6,TRUE,"",0.664742723811863,0.750556470766163,0.716405018819724,0.838116070850235,0.226287417016021,0.593465978874969,0.621523309595922,0.669865645681607,0.605954128901856,2.50980356757162,0.00406054635603683,0.613387423935091,0.630791780642872,0.687929810114431,0.540518510330334,2.62121710115248,0.0250803066334238,0.602465725393902,0.623888554523485,0.676336370630237,0.606644378867727,2.56091624515165,0.000241387811738408,TRUE,TRUE,TRUE,0.603106376067988,0.678043942142092,1,1,0.84375,1,0.0616363477438754,0.691818261280623,0.75737663022335,1,FALSE,7
M012,Elastic Net-Cox,FS02_unicox_p005,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.665356748127226,0.751620473926692,0.716120586391631,0.834982596749064,0.226311145379966,0.593465978874969,0.620364136427834,0.666087890306035,0.603254694169685,2.63164937495297,0.00454992350673934,0.612170385395538,0.629365080038668,0.684492331559156,0.528832212799417,2.74338901692234,0.0256700790611369,0.602363413136894,0.623682229712588,0.672907154157802,0.603224904098647,2.68454235802095,0.000274754506324639,TRUE,TRUE,TRUE,0.602666592469134,0.674495792007664,1,1,0.84375,1,0.0626901556580922,0.686549221709539,0.75607221645159,1,FALSE,8
M022,Elastic Net-Cox,FS03_unicox_p001,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.665356748127226,0.75083914258419,0.714850450245174,0.831526218714705,0.226385477551265,0.593097519037092,0.619929906594849,0.663719935152736,0.600128729961777,2.42477135187057,0.00502858311372239,0.613387423935091,0.630053393060685,0.686566137651809,0.532437382830381,2.51110974058904,0.0275483724803748,0.601851851851852,0.623134895925534,0.671230153761668,0.59898460505809,2.46700510406949,0.000322716254187467,TRUE,TRUE,TRUE,0.602778931608012,0.673838742188738,1,1,0.84375,1,0.0625778165192142,0.687110917403929,0.755975357480185,1,FALSE,9
M032,Elastic Net-Cox,FS04_unicox_top30,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.665356748127226,0.75083914258419,0.714850450245174,0.831526218714705,0.226385477551265,0.593097519037092,0.619929906594849,0.663719935152736,0.600128729961777,2.42477135187057,0.00502858311372239,0.613387423935091,0.630053393060685,0.686566137651809,0.532437382830381,2.51110974058904,0.0275483724803748,0.601851851851852,0.623134895925534,0.671230153761668,0.59898460505809,2.46700510406949,0.000322716254187467,TRUE,TRUE,TRUE,0.602778931608012,0.673838742188738,1,1,0.84375,1,0.0625778165192142,0.687110917403929,0.755975357480185,1,FALSE,10
