source,file_path,action,reason,risk_hits
v1,code/18_signature_biological_characterization_tcga.R,excluded,risk_content_or_filename,figure_8
v1,code/27_optimize_figure2_layout.R,excluded,excluded_path_term:layout,
v1,code/34_make_clean_human_genomics_upload_package.py,excluded,risk_content_or_filename,figure_8
v1,code/36_write_clean_package_final_checklist.py,excluded,risk_content_or_filename,figure_8
v1,figures/final/Figure_2_final_manual_assembled_no_title_v3.pdf,excluded,risk_content_or_filename,local_absolute_windows_path
v1,figures/final/Figure_7_final_manual_assembled_no_title_v2.pdf,excluded,risk_content_or_filename,local_absolute_windows_path
v1,figures/main/Figure1_PRFT_definition_candidate_derivation.pdf,excluded,risk_content_or_filename,local_absolute_windows_path
v1,figures/supplementary/phase5_PPI_network.pdf,excluded,risk_content_or_filename,local_absolute_windows_path
v1,figures/supplementary/phase5_PPI_network__2.pdf,excluded,risk_content_or_filename,local_absolute_windows_path
v1,metadata/cleanup_QA/public_repo_candidate_next_action.md,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/public_repo_candidate_old_value_scan.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/public_repo_candidate_path_scan.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/public_repo_candidate_risk_scan.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/repository_cleanup_exclude_final.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/repository_cleanup_execution_manifest.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/repository_cleanup_execution_report.md,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/cleanup_QA/repository_cleanup_include_final.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/figure3_6_final_file_check.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/license_author_review_note.md,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/pre_github_author_review_report.md,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/pre_github_author_review_summary.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/pre_github_final_risk_scan.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/private_github_sync_recommendation.md,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/supplementary_figure_S1_S9_check.csv,excluded,qa_scratch_or_prior_QA_output,
v1,metadata/pre_github_author_review/supplementary_table_S1_S15_check.csv,excluded,qa_scratch_or_prior_QA_output,
