figure,file_path,source_reference,status,sha256,reason,risk_level,recommendation
Figure 3,figures/main/Figure3_final.pdf,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure3_final.pdf,copied_final,29026c4a1359091e5aa8b3dff432014b3ed2dab112e8fea20336cbd7d29f446f,official final file copied without content changes,low,retain
Figure 3,figures/main/Figure3_final.png,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure3_final.png,copied_final,f9812602d69d20398ee943e65a2dc6962f8b9dee3f8339bce67836e4945505ed,official final file copied without content changes,low,retain
Figure 3,figures/main/Figure3_final.tiff,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure3_final.tiff,copied_final,3b0777bbc73d10eb6565cbd0ee9b19cfba5e6e696a333db527b471150b8515f0,official final file copied without content changes,low,retain
Figure 4,figures/main/Figure4_final.pdf,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure4_final.pdf,copied_final,24f5b8defecdf53db51f314db14b7c88e36f004a94a79d98e857e10e27aefbe9,official final file copied without content changes,low,retain
Figure 4,figures/main/Figure4_final.png,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure4_final.png,copied_final,5e9d8c05b8db634c349b47fa243b54a0862cec08677d3f815cbc728bcdc3516a,official final file copied without content changes,low,retain
Figure 4,figures/main/Figure4_final.tiff,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure4_final.tiff,copied_final,0f41e8b224d17e42618213f9aab3f2889f4efc2de2ab7762b5d8224bbcd184dc,official final file copied without content changes,low,retain
Figure 5,figures/main/Figure5_final.pdf,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure5_final.pdf,copied_final,b91dafb251216bf173931c1f5c86c311d9057e5ea52b61d993da2b7e2a645300,official final file copied without content changes,low,retain
Figure 5,figures/main/Figure5_final.png,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure5_final.png,copied_final,59b91945e2ba6696202f7e9a816782743adab7196970c7da686539ece1510025,official final file copied without content changes,low,retain
Figure 5,figures/main/Figure5_final.tiff,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure5_final.tiff,copied_final,209879a41614aa1c070b93a84f0bfde5aa95f2fec98aeef0d75d2e4be9efe6f2,official final file copied without content changes,low,retain
Figure 6,figures/main/Figure6_final.pdf,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure6_final.pdf,copied_final,972974420542855a9d80d4c39a85370482fb83f126a5344e91241662b1f59d7e,official final file copied without content changes,low,retain
Figure 6,figures/main/Figure6_final.png,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure6_final.png,copied_final,28028e6661c99ad18857fce8d72c2f2ee06224dff190208b2ab5dd309b530ceb,official final file copied without content changes,low,retain
Figure 6,figures/main/Figure6_final.tiff,04_figures/Human_Genomics_PRFT_AML_OFFICIAL_submission_package/04_Main_Figures/Figure6_final.tiff,copied_final,06fd47ca15dc26105fdf7eefdb9ded1ab536127a6accafe8ca92bf0f2cb3b976,official final file copied without content changes,low,retain
