gene_symbol,module_color
HOXB6,magenta
PRDM16,magenta
HOXB5,magenta
COL4A5,magenta
DSC2,tan
UGGT2,magenta
ARHGEF10L,blue
C20orf200,magenta
PPARGC1A,magenta
KRT17,tan
MARCO,blue
PRLR,blue
LGALS2,blue
FAM38B,magenta
CD14,blue
PLBD1,blue
CLEC10A,blue
HOXB3,magenta
DTNA,red
LIN7A,tan
CD300E,blue
H2AFY2,magenta
MOSC2,tan
LILRB4,blue
S100A9,blue
CNNM1,magenta
ADAMTS2,red
EREG,magenta
S100A12,blue
VCAN,blue
HOXA6,magenta
DEFB1,tan
LILRA3,blue
LILRA5,blue
MYCL1,blue
TMEM105,blue
HOXA3,magenta
TBC1D8B,magenta
SLPI,tan
CLEC4E,blue
HOXA5,magenta
VENTX,blue
PHKA1,magenta
AQP9,blue
IL31RA,blue
TLR8,blue
S100A8,blue
TNNT1,blue
HK3,blue
MSR1,blue
CCL23,red
SYTL4,magenta
CD163,blue
MEFV,blue
MPEG1,blue
SLITRK5,blue
PPARG,tan
SLC28A3,tan
CYP7B1,magenta
CTSG,tan
SHROOM4,magenta
MYOF,blue
FCN1,blue
CYP27A1,blue
SLC11A1,blue
TOM1L1,magenta
HOXB4,magenta
CES1,blue
MAFB,blue
FPR1,blue
COL23A1,tan
GLT1D1,blue
SLC6A12,blue
OLFML2A,blue
TLR7,blue
C7orf58,blue
LPO,tan
NLRP12,blue
KIAA1598,blue
KIAA0087,magenta
PRR16,blue
MTMR11,blue
CD1D,blue
TSKS,red
ASGR2,blue
LILRA6,blue
SERPINB2,blue
FOLR3,blue
TRPM4,blue
SIGLEC1,blue
LRP1,blue
BEX1,magenta
MPO,tan
CLGN,magenta
C2,blue
C5AR1,blue
THAP10,magenta
CLTCL1,tan
SLC7A7,blue
VNN3,blue
DKK2,blue
NKX2-3,magenta
TSLP,magenta
CLEC7A,blue
HOXA4,magenta
CDA,blue
TGFBI,blue
ASS1,tan
MYO7A,blue
SLC15A3,blue
QPCT,blue
CCR2,blue
HNMT,blue
SIGLEC9,blue
NAPSB,blue
CD1C,blue
LRRK2,blue
EMR3,blue
RBM47,blue
MS4A6A,blue
LTBP1,magenta
C10orf140,magenta
NCF1,blue
SLC8A1,blue
EPHB2,blue
HTR7,blue
PRTN3,tan
C17orf55,blue
LDLRAD3,blue
SCUBE1,blue
SIGLEC7,blue
IGSF10,magenta
ANO7,tan
ADCY2,magenta
ADRB1,magenta
ELANE,tan
EPHB3,blue
ST8SIA6,magenta
GABRE,tan
APCDD1,blue
MS4A4A,blue
NUDT16P1,blue
FAM110B,red
C10orf114,magenta
BMPR1B,magenta
RANBP17,magenta
MPV17L,magenta
SMPDL3A,blue
TMEM176B,blue
TMEM176A,blue
NCF1C,blue
CR1,blue
CACNA2D3,blue
KCTD12,blue
HOXA7,magenta
GSDMC,tan
TSHZ3,red
EPB41L3,blue
IL1R2,blue
ST14,blue
DPYSL3,magenta
CACHD1,magenta
IFI30,blue
SLC22A15,red
HOXA2,magenta
VNN1,blue
NID1,blue
GLB1L2,magenta
FXYD6,blue
CD276,red
APOBEC3A,blue
SORT1,blue
KCNJ2,blue
NCF1B,blue
SIRPD,blue
SLC16A9,magenta
UNC5A,blue
LYZ,blue
C1QA,blue
CYP1B1,blue
PTGFR,magenta
RXFP2,blue
SORCS2,blue
EPS8,blue
STK33,magenta
SECTM1,blue
SCARA3,magenta
LOC399959,tan
TLR5,blue
CD1A,blue
IL1RN,blue
ME1,blue
HSPA7,blue
C9orf122,tan
FPR2,blue
CLEC4A,blue
EMR4P,blue
INTU,magenta
PHACTR3,blue
EPGN,magenta
TGM5,tan
CD209,blue
CRISPLD2,blue
TPPP3,red
MOSC1,tan
CLU,tan
LOC254559,tan
GPR133,blue
CCR1,blue
TNFRSF11A,blue
C9orf47,blue
C15orf38,blue
CHST15,blue
CHRNA6,tan
ANKRD35,tan
CD300LB,blue
CDC42EP1,blue
HOXB2,magenta
METTL7B,blue
LILRB3,blue
RNASE6,blue
MPZL2,blue
