"Package","Version","LibPath","Priority"
"AnnotationDbi","1.72.0","D:/R/R-4.5.1/library",NA
"BH","1.90.0-1","D:/R/R-4.5.1/library",NA
"Biobase","2.70.0","D:/R/R-4.5.1/library",NA
"BiocFileCache","3.0.0","D:/R/R-4.5.1/library",NA
"BiocGenerics","0.56.0","D:/R/R-4.5.1/library",NA
"BiocManager","1.30.27","D:/R/R-4.5.1/library",NA
"BiocVersion","3.22.0","D:/R/R-4.5.1/library",NA
"Biostrings","2.78.0","D:/R/R-4.5.1/library",NA
"DBI","1.3.0","D:/R/R-4.5.1/library",NA
"DelayedArray","0.36.1","D:/R/R-4.5.1/library",NA
"Deriv","4.2.0","D:/R/R-4.5.1/library",NA
"GSEABase","1.72.0","D:/R/R-4.5.1/library",NA
"GenomicRanges","1.62.1","D:/R/R-4.5.1/library",NA
"IRanges","2.44.0","D:/R/R-4.5.1/library",NA
"KEGGREST","1.50.0","D:/R/R-4.5.1/library",NA
"KernSmooth","2.23-26","D:/R/R-4.5.1/library","recommended"
"MASS","7.3-65","D:/R/R-4.5.1/library","recommended"
"Matrix","1.7-3","D:/R/R-4.5.1/library","recommended"
"MatrixGenerics","1.22.0","D:/R/R-4.5.1/library",NA
"ModelMetrics","1.2.2.2","D:/R/R-4.5.1/library",NA
"NeuralNetTools","1.5.3","D:/R/R-4.5.1/library",NA
"R.methodsS3","1.8.2","D:/R/R-4.5.1/library",NA
"R.oo","1.27.1","D:/R/R-4.5.1/library",NA
"R.utils","2.13.0","D:/R/R-4.5.1/library",NA
"R6","2.6.1","D:/R/R-4.5.1/library",NA
"RColorBrewer","1.1-3","D:/R/R-4.5.1/library",NA
"RSQLite","3.53.2","D:/R/R-4.5.1/library",NA
"Rcpp","1.1.0","D:/R/R-4.5.1/library",NA
"RcppEigen","0.3.4.0.2","D:/R/R-4.5.1/library",NA
"S4Arrays","1.10.1","D:/R/R-4.5.1/library",NA
"S4Vectors","0.48.1","D:/R/R-4.5.1/library",NA
"S7","0.2.0","D:/R/R-4.5.1/library",NA
"SQUAREM","2021.1","D:/R/R-4.5.1/library",NA
"ScaledMatrix","1.18.0","D:/R/R-4.5.1/library",NA
"Seqinfo","1.0.0","D:/R/R-4.5.1/library",NA
"SparseArray","1.10.10","D:/R/R-4.5.1/library",NA
"SummarizedExperiment","1.40.0","D:/R/R-4.5.1/library",NA
"TCGAbiolinks","2.38.0","D:/R/R-4.5.1/library",NA
"XML","3.99-0.23","D:/R/R-4.5.1/library",NA
"XVector","0.50.0","D:/R/R-4.5.1/library",NA
"abind","1.4-8","D:/R/R-4.5.1/library",NA
"askpass","1.2.1","D:/R/R-4.5.1/library",NA
"base","4.5.1","D:/R/R-4.5.1/library","base"
"base64enc","0.1-6","D:/R/R-4.5.1/library",NA
"beachmat","2.26.0","D:/R/R-4.5.1/library",NA
"biomaRt","2.66.2","D:/R/R-4.5.1/library",NA
"bit","4.6.0","D:/R/R-4.5.1/library",NA
"bit64","4.8.2","D:/R/R-4.5.1/library",NA
"blob","1.3.0","D:/R/R-4.5.1/library",NA
"boot","1.3-31","D:/R/R-4.5.1/library","recommended"
"cachem","1.1.0","D:/R/R-4.5.1/library",NA
"caret","7.0-1","D:/R/R-4.5.1/library",NA
"cellranger","1.1.0","D:/R/R-4.5.1/library",NA
"class","7.3-23","D:/R/R-4.5.1/library","recommended"
"cli","3.6.5","D:/R/R-4.5.1/library",NA
"clipr","0.8.1","D:/R/R-4.5.1/library",NA
"clock","0.7.3","D:/R/R-4.5.1/library",NA
