step,sample_count,note
TCGA_expression_raw,173,Raw TCGA-LAML expression matrix sample count after patient-level deduplication.
TCGA_PRFT_scored_expression,173,All 173 expression samples had PRFT score and were split into PRFT-high/low.
TCGA_DEG,173,DEG used all PRFT-grouped expression samples (87 high + 86 low = 173).
TCGA_WGCNA,173,WGCNA used 173 matched expression samples; no sample removed by goodSamplesGenes.
TCGA_expression_clinical_matched,173,Expression and clinical metadata matched on sample_id before survival filtering.
TCGA_complete_survival,163,Samples with non-missing OS_time and OS_status.
TCGA_Cox,151,Survival modeling used OS_time > 0 and non-missing OS_status; this is the 151-sample analysis set.
TCGA_LASSO,151,Cross-platform six-gene LASSO used the same 151 survival-eligible TCGA samples.
TCGA_KM_ROC,151,TCGA KM/ROC used the same 151 risk-scored TCGA samples.
GSE37642_GPL570_validation,136,External validation on GSE37642 GPL570 after local survival filtering.
GSE12417_GPL570_validation,79,External validation on GSE12417 GPL570 after local survival filtering.
combined_GPL570_validation,215,Combined GPL570 validation set for dataset-adjusted Cox.
