feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-A_original_6gene,independent-like,Random Forest,1,CLCN5,0.110946271050521,,0.0127147839533656,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,1,CLCN5,0.689855046893303,0.689855046893303,,xgboost_predcontrib_SHAP
FS-A_original_6gene,independent-like,Random Forest,2,ARHGEF5,0.053996257685111,,0.00660262693042782,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,2,ARHGEF5,0.584774015783575,0.584774015783575,,xgboost_predcontrib_SHAP
FS-A_original_6gene,independent-like,Random Forest,3,ACOX2,0.0309542902967121,,0.00764758973196657,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,3,TRIM32,0.394307993998417,0.394307993998417,,xgboost_predcontrib_SHAP
FS-A_original_6gene,independent-like,Random Forest,4,TRIM32,0.030513231756215,,0.00709641897757965,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,4,ACOX2,0.304991428519605,0.304991428519605,,xgboost_predcontrib_SHAP
FS-A_original_6gene,independent-like,Random Forest,5,ITGB2,0.0293237102379043,,0.00530187481990384,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,5,SAT1,0.183096019798793,0.183096019798793,,xgboost_predcontrib_SHAP
FS-A_original_6gene,independent-like,Random Forest,6,SAT1,0.0264768778401497,,0.0041628479506373,permutation_importance_fallback
FS-A_original_6gene,independent-like,XGBoost,6,ITGB2,0.158489412159761,0.158489412159761,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,1,AIM2,0.00259288960171071,,0.00162743652240302,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,1,AIM2,0.693378185777995,0.693378185777995,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,2,CLCN5,0.000868751670676271,,0.000528079372321561,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,2,CLCN5,0.297852226577409,0.297852226577409,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,3,ARHGEF5,0.000654905105586701,,0.000585812370082039,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,3,TRIM32,0.255687803132298,0.255687803132298,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,4,HOXB7,0.000494520181769531,,0.000321573241247767,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,4,HOXB7,0.238957276470916,0.238957276470916,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,5,FGR,0.000481154771451442,,0.000129122130857948,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,5,ARHGEF5,0.228783860555016,0.228783860555016,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,6,SLC16A3,0.000414327719860974,,7.5868245415317e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,6,MYO7A,0.203900249534949,0.203900249534949,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,7,TRIM32,0.000334135257952384,,0.000220518019616228,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,7,PI4K2A,0.199841494195572,0.199841494195572,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,8,CCL22,0.000294039026998105,,0.000151736490830688,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,8,SEL1L3,0.179907782186318,0.179907782186318,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,9,NINJ1,0.000173750334135203,,9.02096441740912e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,9,VDR,0.176312607890695,0.176312607890695,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,10,SAT1,0.000120288692862847,,0.0001719705877717,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,10,CTSD,0.152969606220722,0.152969606220722,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,11,ACOX2,0.000120288692862824,,9.86186564250836e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,11,EPB41L3,0.120769179270016,0.120769179270016,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,12,SLC8A1,0.000120288692862802,,4.22651384678772e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,12,ACOX2,0.102757213971002,0.102757213971002,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,13,ITGB2,0.000106923282544713,,5.63535179571696e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,13,CCL22,0.0764825239863699,0.0764825239863699,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,14,VDR,9.35578722266461e-05,,0.000126795415403691,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,14,PRKCD,0.0601881828718964,0.0601881828718964,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,15,PI4K2A,5.34616412723676e-05,,0.000169060553871602,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,15,TNFSF12-TNFSF13,0.0593473779392897,0.0593473779392897,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,16,EPB41L3,4.00962309542674e-05,,6.45610654289458e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,16,NINJ1,0.0490785262377857,0.0490785262377857,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,17,PRKCD,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,17,SAT1,0.046224025493983,0.046224025493983,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,18,SEL1L3,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,18,HOXB5,0.0375051222596253,0.0375051222596253,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,19,PMM1,2.67308206361561e-05,,0.000105427778367608,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,19,ITGB2,0.0251839948505852,0.0251839948505852,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,20,FTH1,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,20,KCNE1,0.0233846823886748,0.0233846823886748,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,21,HOXB5,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,21,NEDD9,0.0220896435277052,0.0220896435277052,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,22,ITGAM,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,22,THBS1,0.0220091664326523,0.0220091664326523,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,23,KCNQ1,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,23,SLC16A3,0.021269855886224,0.021269855886224,,xgboost_predcontrib_SHAP
FS-B_33_cross_platform_candidates,independent-like,Random Forest,24,KIAA0513,0,,0,permutation_importance_fallback
FS-B_33_cross_platform_candidates,independent-like,XGBoost,24,FTH1,0.0211850778937254,0.0211850778937254,,xgboost_predcontrib_SHAP
