intended_final_figure,intended_panel,panel_name,best_original_source_file,source_type,resolution_or_vector_status,source_quality,should_use_in_main,reason,needs_crop,needs_replot_from_existing_data,preserve_source,notes
Figure 1,A,Study workflow,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure1A_workflow_schematic.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 1,B,PRFT score definition,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure1B_PRFT_definition_schematic.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 1,C,Dataset flow,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\Human_Genomics_submission_simple_v4\3_Main_Figures\Figure_1.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 1,D,Fixed six-gene overview,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\phase1_six_gene_coefficients.csv,csv,source_table_or_script,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 2,A,Volcano plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure2A_PRFT_high_vs_low_DEG_volcano.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 2,B,Top DEG heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure2B_PRFT_high_vs_low_DEG_heatmap_top50.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 2,C,WGCNA module-trait heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure2C_WGCNA_module_trait_heatmap.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 2,D,PRFT-positive WGCNA modules,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure2D_PRFT_positive_modules_barplot.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 3,A,Candidate filtering plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure3A_candidate_gene_selection_workflow.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 3,B,Univariate Cox forest plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure3B_univariate_cox_top_genes.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 3,C,LASSO path,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure3C_cross_platform_LASSO_coefficient_path.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 3,D,Six-gene coefficient plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure3D_cross_platform_signature_coefficients_formula.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 4,A,TCGA KM,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure4A_TCGA_KM_cross_platform_signature.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 4,A,TCGA ROC,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure4B_TCGA_timeROC_cross_platform_signature.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 4,B,GSE37642 KM/ROC,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure4C_GSE37642_GPL570_KM.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 4,C,GSE12417 KM/combined GPL570,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\13_figures\main_figures\Figure4D_GSE12417_GPL570_KM.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 4,D,Clinical Model 2 forest plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase2b_forestplot_model2_publication.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 5,A,ML performance heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase3A_fix_model_performance_heatmap.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 5,B,PRFT-high state-recognition heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase3B_fix_model_performance_heatmap.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 5,C,SHAP top feature plot,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase3B_fix_SHAP_or_importance_FS_F_core_axis.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 5,D,PPI hub ranking,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase5_PPI_hub_barplot.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 6,A,Bulk signature/pathway heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase7_cleanup_core_signature_consistency_panel.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 6,B,Bulk/single-cell consistency panel,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase7_cleanup_bulk_singlecell_consistency_panel.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 6,C,Processed single-cell patient-level score boxplots,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase4b_patient_level_score_boxplots.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
Figure 6,D,PRFT-high-like fraction or RoE heatmap,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\04_figures\phase4_RoE_heatmap.pdf,pdf,vector_or_pdf,high,yes,best available original panel/source found; use this rather than extracting from a low-resolution composite,yes,no,yes,
