planned_combination_id,algorithm,package,package_available,package_note,feature_strategy,planned_gene_count,planned_genes,feature_set_available
M001,CoxBoost,CoxBoost,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M002,Elastic Net-Cox,glmnet,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M003,GBM-Cox,gbm,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M004,LASSO-Cox,glmnet,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M005,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M006,Ridge-Cox,glmnet,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M007,Stepwise Cox,MASS,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M008,SuperPC,superpc,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M009,Survival-SVM,survivalsvm,TRUE,primary package available,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M010,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS01_all_33,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M011,CoxBoost,CoxBoost,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M012,Elastic Net-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M013,GBM-Cox,gbm,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M014,LASSO-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M015,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M016,Ridge-Cox,glmnet,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M017,Stepwise Cox,MASS,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
M018,SuperPC,superpc,TRUE,primary package available,FS02_unicox_p005,33,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7;AIM2;KCNQ1;NINJ1,TRUE
