consensus_rank,gene_symbol,degree,MCC,MNC,closeness,betweenness,EPC_like,degree_rank,MCC_rank,MNC_rank,closeness_rank,betweenness_rank,EPC_like_rank,in_original_6gene
1,IL10,44,17380,37,0.620689655172414,295.009311926893,30.008,1,1,2.5,5.5,4,1,FALSE
2,HSP90AA1,42,11634,37,0.633802816901409,360.226266225447,27.436,2,3,2.5,4,3,3,FALSE
3,STAT1,40,14880,37,0.608108108108108,199.461165073493,28.631,3,2,2.5,7,7,2,FALSE
4,HSP90AB1,39,10218,37,0.620689655172414,241.353137744846,24.953,4,8,2.5,5.5,6,4,FALSE
5,TGFB1,35,11060,31,0.6,175.80079052658,20.643,6,4,7,8,8,11,FALSE
6,CXCL8,35,10570,32,0.573248407643312,130.600267147305,21.4,6,6.5,5,10.5,11,10,FALSE
7,CD274,34,10608,31,0.552147239263804,128.09383961916,22.987,8.5,5,7,17.5,12,6,FALSE
8,ITGAM,35,10570,31,0.526315789473684,151.453361922485,21.761,6,6.5,7,22,9,8,FALSE
9,JAK2,31,7750,28,0.569620253164557,119.612865042568,21.91,10,9,9.5,12,13,7,FALSE
10,NFE2L2,34,6698,22,0.596026490066225,400.935207352693,21.526,8.5,13,23,9,1,9,FALSE
11,HSPA5,30,5010,23,0.573248407643312,261.449465512103,23.345,11.5,20,20.5,10.5,5,5,FALSE
12,STAT5A,30,7320,27,0.559006211180124,74.1952532305674,19.112,11.5,10,11.5,14,18,12,FALSE
13,CSF1R,29,6641,26,0.50561797752809,85.8714713006049,17.234,13.5,14,13.5,30,17,19,FALSE
14,STAT5B,28,6356,27,0.523255813953488,48.9453550322637,18.071,15.5,15,11.5,23.5,29,13,FALSE
15,SQSTM1,26,2808,20,0.566037735849057,374.333341140576,15.852,18.5,31,27.5,13,2,22,FALSE
16,CALR,26,3796,22,0.552147239263804,119.110627570607,17.338,18.5,24,23,17.5,14,18,FALSE
17,FCGR3A,29,7134,28,0.5,31.7108368078833,17.956,13.5,12,9.5,33,35,14,FALSE
18,CD163,26,5148,24,0.511363636363636,70.7150002540046,16.281,18.5,19,17,28,19,21,FALSE
19,IRF1,26,5174,24,0.542168674698795,45.8062097735709,15.558,18.5,18,17,20,30,26,FALSE
20,IDO1,28,7224,26,0.489130434782609,21.1804677193313,17.833,15.5,11,13.5,36.5,44,15,FALSE
