drug_name,metric_name,metric_direction_note,matched_samples,spearman_rho,P.Value,score_name,FDR,drug_category,association_interpretation,abs_spearman_rho
Crenolanib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,446,-0.179890801540875,0.000133665745255045,JAK2_STAT5_PDL1_score,0.0158093737304175,FLT3_related,Higher score associated with lower AUC / greater ex vivo sensitivity,0.179890801540875
Bosutinib (SKI-606),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,456,-0.173085583768464,0.000203991919102161,JAK2_STAT5_PDL1_score,0.0158093737304175,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.173085583768464
Sunitinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,488,-0.156462472644381,0.00052260858674225,JAK2_STAT5_PDL1_score,0.0270014436483496,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.156462472644381
Tivozanib (AV-951),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,448,-0.154318334318934,0.00104980360684178,JAK2_STAT5_PDL1_score,0.0406798897651189,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.154318334318934
Motesanib (AMG-706),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,450,-0.146360824398283,0.0018524253760862,JAK2_STAT5_PDL1_score,0.0516254749748877,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.146360824398283
Pazopanib (GW786034),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,467,-0.142660053261616,0.00199840548289888,JAK2_STAT5_PDL1_score,0.0516254749748877,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.142660053261616
Nilotinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,472,-0.138588143918701,0.00254873035608565,JAK2_STAT5_PDL1_score,0.0564361721704679,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.138588143918701
Dasatinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,493,-0.131159126957818,0.00352934175854444,JAK2_STAT5_PDL1_score,0.0667583885753287,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.131159126957818
Tofacitinib (CP-690550),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,458,-0.133651833769477,0.00416583762931541,JAK2_STAT5_PDL1_score,0.0667583885753287,JAK_STAT_related,Higher score associated with lower AUC / greater ex vivo sensitivity,0.133651833769477
Venetoclax,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,367,0.148695026683669,0.00430699281131153,JAK2_STAT5_PDL1_score,0.0667583885753287,BCL2_apoptosis,Higher score associated with higher AUC / lower ex vivo sensitivity,0.148695026683669
Quizartinib (AC220),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,461,-0.120191850878759,0.00979475348249049,JAK2_STAT5_PDL1_score,0.138016980889639,FLT3_related,Higher score associated with lower AUC / greater ex vivo sensitivity,0.120191850878759
Gilteritinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,278,-0.150612619803764,0.0119283258818578,JAK2_STAT5_PDL1_score,0.142963051650926,FLT3_related,Higher score associated with lower AUC / greater ex vivo sensitivity,0.150612619803764
MGCD-265,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,448,-0.118613007357597,0.0119904494933035,JAK2_STAT5_PDL1_score,0.142963051650926,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.118613007357597
Palbociclib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,295,0.142097161786904,0.0145800987071442,JAK2_STAT5_PDL1_score,0.161422521400525,Uncategorized,Higher score associated with higher AUC / lower ex vivo sensitivity,0.142097161786904
Vismodegib (GDC-0449),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,457,-0.111739584502819,0.016863726301786,JAK2_STAT5_PDL1_score,0.174258505118455,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.111739584502819
Saracatinib (AZD0530),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,450,-0.111021329066651,0.0184801444105038,JAK2_STAT5_PDL1_score,0.179026398976755,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.111021329066651
Cediranib (AZD2171),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,454,-0.108478527393514,0.0207867328553233,JAK2_STAT5_PDL1_score,0.189069952210171,Uncategorized,Higher score associated with lower AUC / greater ex vivo sensitivity,0.108478527393514
