variable,model_type,term,estimate,std_error,df,t_value,p_value,n_obs,n_patients,notes,FDR
six_gene_risk_score_mean,nlme_lme,(Intercept),0.0940164749660996,0.0131813626845372,596,7.13253077213242,2.86740712923682e-12,620,22,random intercept for patient_id,6.25616100924397e-12
six_gene_risk_score_mean,nlme_lme,cell_groupprimitive_progenitor_related,-0.138289291625563,0.0169200146267393,596,-8.17311891722711,1.80970820016149e-15,620,22,random intercept for patient_id,4.34329968038759e-15
six_gene_risk_score_mean,nlme_lme,cell_grouplymphoid_other,-0.131225180807779,0.0151541526260219,596,-8.65935457073635,4.44111291122819e-17,620,22,random intercept for patient_id,1.18429677632752e-16
six_gene_risk_score_mean,nlme_lme,AML_vs_healthyhealthy_BM,-0.0256117450334422,0.0202937460203639,20,-1.2620511268714,0.221450078490243,620,22,random intercept for patient_id,0.265740094188292
PRFT_score_mean,nlme_lme,(Intercept),0.173879435074722,0.0528056668405152,596,3.29281771215722,0.00105059580897736,620,22,random intercept for patient_id,0.00157589371346604
PRFT_score_mean,nlme_lme,cell_groupprimitive_progenitor_related,-0.0877195461634034,0.0655020855466177,596,-1.33918707215778,0.181020271046922,620,22,random intercept for patient_id,0.241360361395896
PRFT_score_mean,nlme_lme,cell_grouplymphoid_other,-0.345360269006141,0.0586884662690323,596,-5.88463612974624,6.65819274881272e-09,620,22,random intercept for patient_id,1.22920481516543e-08
PRFT_score_mean,nlme_lme,AML_vs_healthyhealthy_BM,-0.0139227269148891,0.0823936047731294,20,-0.168978247198011,0.867511076169458,620,22,random intercept for patient_id,0.867511076169458
JAK2_STAT5_PD_L1_score_mean,nlme_lme,(Intercept),0.077478539738403,0.0593155717693489,596,1.30620910204965,0.191985329934333,620,22,random intercept for patient_id,0.24250778518021
JAK2_STAT5_PD_L1_score_mean,nlme_lme,cell_groupprimitive_progenitor_related,-0.322462903268912,0.0537063280948195,596,-6.00418823457076,3.34335815918912e-09,620,22,random intercept for patient_id,6.68671631837823e-09
JAK2_STAT5_PD_L1_score_mean,nlme_lme,cell_grouplymphoid_other,-0.241889999356126,0.0481985236870174,596,-5.01861843169442,6.88066095346866e-07,620,22,random intercept for patient_id,1.10090575255499e-06
JAK2_STAT5_PD_L1_score_mean,nlme_lme,AML_vs_healthyhealthy_BM,0.0645996927250347,0.10258473073963,20,0.629720351745085,0.536005933772374,620,22,random intercept for patient_id,0.559310539588564
myeloid_suppressive_score_mean,nlme_lme,(Intercept),0.977900194833013,0.079752091456136,596,12.2617498422704,5.56726532147833e-31,620,22,random intercept for patient_id,1.90877668164971e-30
myeloid_suppressive_score_mean,nlme_lme,cell_groupprimitive_progenitor_related,-1.2188700154847,0.0619946581304272,596,-19.660887764239,1.04046213619587e-66,620,22,random intercept for patient_id,8.32369708956692e-66
myeloid_suppressive_score_mean,nlme_lme,cell_grouplymphoid_other,-1.20168691930788,0.0556530587042046,596,-21.5924685414836,7.97444649845025e-77,620,22,random intercept for patient_id,9.5693357981403e-76
myeloid_suppressive_score_mean,nlme_lme,AML_vs_healthyhealthy_BM,0.11287642337111,0.142038094393497,20,0.794691197830361,0.436122566844451,620,22,random intercept for patient_id,0.475770072921219
LSC17_score_mean,nlme_lme,(Intercept),-0.517131980970156,0.0570868547288388,596,-9.05868756347709,1.87541716196443e-18,620,22,random intercept for patient_id,5.62625148589329e-18
LSC17_score_mean,nlme_lme,cell_groupprimitive_progenitor_related,1.09222761950241,0.0592079520807395,596,18.4473129219701,1.87884941918101e-60,620,22,random intercept for patient_id,1.12730965150861e-59
LSC17_score_mean,nlme_lme,cell_grouplymphoid_other,0.274244372645758,0.0531123925912131,596,5.1634723887609,3.30879852316418e-07,620,22,random intercept for patient_id,5.67222603971002e-07
LSC17_score_mean,nlme_lme,AML_vs_healthyhealthy_BM,0.103063288252587,0.0951680034884371,20,1.08296154668317,0.291709684808998,620,22,random intercept for patient_id,0.33338249692457
PRFT_high_like_fraction,nlme_lme,(Intercept),0.456249052365843,0.0171607146724828,596,26.5868328372965,2.69273871254444e-103,620,22,random intercept for patient_id,6.46257291010667e-102
PRFT_high_like_fraction,nlme_lme,cell_groupprimitive_progenitor_related,-0.357300467671706,0.0229532610861458,596,-15.5664359121226,4.26653161422348e-46,620,22,random intercept for patient_id,2.04793517482727e-45
PRFT_high_like_fraction,nlme_lme,cell_grouplymphoid_other,-0.315914838230131,0.020545999301413,596,-15.3759782425577,3.52257395802306e-45,620,22,random intercept for patient_id,1.40902958320922e-44
PRFT_high_like_fraction,nlme_lme,AML_vs_healthyhealthy_BM,-0.0590663533261086,0.026048797861719,20,-2.26752703290434,0.0345933058880457,620,22,random intercept for patient_id,0.0488376083125352
