set_name,risk_cor_direction,risk_cor_significant_cohorts,risk_cor_mean_rho,risk_cor_cohorts,high_low_direction,high_low_significant_cohorts,high_low_mean_diff,PRFT_cor_direction,PRFT_cor_significant_cohorts,PRFT_cor_mean_rho,PRFT_group_direction,PRFT_group_significant_cohorts,PRFT_group_mean_diff,analysis_domain,cross_cohort_consistent
IFN_response_pathway,positive_all,4,0.385563889436381,TCGA;GSE37642;GSE12417;combined_GPL570,high_higher_all,4,0.44456926313746,mixed,1,-0.10569407279705,mixed,1,-0.0685063992462666,pathway_activity,yes
JAK_STAT_pathway,positive_all,3,0.301842307479229,TCGA;GSE37642;GSE12417;combined_GPL570,high_higher_all,3,0.393027036262619,mixed,0,0.0152497633822111,mixed,0,0.016964077180445,pathway_activity,yes
MYC_targets_pathway,negative_all,3,-0.270384099484348,TCGA;GSE37642;GSE12417;combined_GPL570,low_higher_all,3,-0.457750989900373,positive_all,3,0.287161730606829,mixed,2,0.400333051383318,pathway_activity,yes
PI3K_AKT_mTOR_pathway,negative_all,4,-0.308715931498833,TCGA;GSE37642;GSE12417;combined_GPL570,low_higher_all,4,-0.544137966103361,mixed,3,0.232789115846893,high_higher_all,2,0.387332859654077,pathway_activity,yes
TNF_NFKB_pathway,positive_all,4,0.364047501043875,TCGA;GSE37642;GSE12417;combined_GPL570,high_higher_all,4,0.45479205584145,positive_all,2,0.150957115190917,mixed,1,0.104016612989333,pathway_activity,yes
apoptosis_pathway,negative_all,4,-0.412163314745572,TCGA;GSE37642;GSE12417;combined_GPL570,low_higher_all,4,-0.722668631430372,mixed,2,-0.0311948359530581,mixed,2,-0.104125317465419,pathway_activity,yes
ferroptosis_defense_pathway,mixed,2,0.196771955136661,TCGA;GSE37642;GSE12417;combined_GPL570,mixed,1,0.18893149285731,positive_all,4,0.663392124547972,high_higher_all,4,1.00814984269839,pathway_activity,no
hypoxia_pathway,mixed,3,0.142795331602766,TCGA;GSE37642;GSE12417;combined_GPL570,mixed,3,0.229325041078817,positive_all,2,0.264953550338509,high_higher_all,2,0.454608605925933,pathway_activity,no
inflammatory_response_pathway,positive_all,4,0.412816930328918,TCGA;GSE37642;GSE12417;combined_GPL570,high_higher_all,4,0.816222735101798,mixed,0,-0.00447812654492748,mixed,0,-0.0413144674623349,pathway_activity,yes
oxidative_stress_NRF2_pathway,positive_all,4,0.413922124004789,TCGA;GSE37642;GSE12417;combined_GPL570,high_higher_all,4,0.72951970821129,positive_all,3,0.316277534334281,high_higher_all,3,0.512507985780437,pathway_activity,yes
p53_pathway,positive_all,0,0.0382983128128875,TCGA;GSE37642;GSE12417;combined_GPL570,mixed,0,0.0163143631726528,mixed,1,0.139218137607771,high_higher_all,1,0.279850991740961,pathway_activity,no
unfolded_protein_response_pathway,mixed,2,-0.0465106400200071,TCGA;GSE37642;GSE12417;combined_GPL570,mixed,1,0.0528684421975171,positive_all,4,0.579484044951137,high_higher_all,4,0.876549068227745,pathway_activity,no
