flow_level,drug_name,metric_name,metric_direction_note,beataml_expression_samples,beataml_drug_response_samples,matched_expression_drug_samples,total_drugs_observed,total_drugs_eligible_ge20,matched_samples,high_risk_samples,low_risk_samples,median_AUC,drug_category,eligible_for_testing
overall,ALL_DRUGS,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,520,354,353,,ALL,TRUE
per_drug,17-AAG (Tanespimycin),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,449,225,224,147.43606902934,HSP90_proteostasis,TRUE
per_drug,A-674563,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,461,233,228,132.700413023999,Uncategorized,TRUE
per_drug,ABT-737,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,236,120,116,188.278760018266,Uncategorized,TRUE
per_drug,AGI-5198,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,299,154,145,249.260910075194,Uncategorized,TRUE
per_drug,AGI-6780,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,297,154,143,244.878529943148,Uncategorized,TRUE
per_drug,AT7519,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,446,227,219,131.354924864056,Uncategorized,TRUE
per_drug,AZD1152-HQPA (AZD2811),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,455,229,226,223.668706332296,Uncategorized,TRUE
per_drug,AZD1480,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,456,230,226,229.222594183236,Uncategorized,TRUE
per_drug,Afatinib (BIBW-2992),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,459,232,227,167.010091123719,Uncategorized,TRUE
per_drug,Alisertib (MLN8237),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,459,232,227,235.191485112265,Uncategorized,TRUE
per_drug,Axitinib (AG-013736),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,476,237,239,197.058913822239,Uncategorized,TRUE
per_drug,Azacytidine,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,367,185,182,240.973193465397,Uncategorized,TRUE
per_drug,BEZ235,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,449,222,227,140.878234449753,Uncategorized,TRUE
per_drug,BMS-345541,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,462,231,231,237.431986418826,Uncategorized,TRUE
per_drug,Bay 11-7085,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,343,173,170,260.66303104216,Uncategorized,TRUE
per_drug,Bortezomib (Velcade),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,463,233,230,153.294825793792,Proteasome,TRUE
per_drug,Bosutinib (SKI-606),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,456,230,226,210.16973313245,Uncategorized,TRUE
per_drug,CHIR-99021,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,457,228,229,277.339516950295,Uncategorized,TRUE
per_drug,CI-1040 (PD184352),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,461,233,228,189.178067194192,Uncategorized,TRUE
per_drug,CYT387,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,455,228,227,172.076915865736,Uncategorized,TRUE
per_drug,Cabozantinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,450,226,224,172.53406842106,Uncategorized,TRUE
per_drug,Canertinib (CI-1033),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,455,229,226,221.130592287165,Uncategorized,TRUE
per_drug,Cediranib (AZD2171),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,454,229,225,256.75206228714,Uncategorized,TRUE
per_drug,Crenolanib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,446,227,219,219.925965848311,FLT3_related,TRUE
per_drug,Crizotinib (PF-2341066),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,470,237,233,197.476333380472,Uncategorized,TRUE
per_drug,Cytarabine,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,329,168,161,196.281507198413,AML_chemotherapy_related,TRUE
per_drug,DBZ,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,366,185,181,239.779112316156,Uncategorized,TRUE
per_drug,Dasatinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,493,248,245,174.582846019451,Uncategorized,TRUE
per_drug,Doramapimod (BIRB 796),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,454,228,226,171.740124717853,Uncategorized,TRUE
per_drug,Dovitinib (CHIR-258),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,455,230,225,153.99363644563,Uncategorized,TRUE
per_drug,Elesclomol,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,431,210,221,35.7529331815675,Uncategorized,TRUE
per_drug,Erlotinib,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,485,243,242,226.073011368368,Uncategorized,TRUE
per_drug,Flavopiridol,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,451,226,225,111.387388414001,Uncategorized,TRUE
per_drug,Foretinib (XL880),auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,453,230,223,116.631309523307,Uncategorized,TRUE
per_drug,GDC-0879,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,456,231,225,284.300595059661,Uncategorized,TRUE
per_drug,GDC-0941,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,424,220,204,143.451673329767,Uncategorized,TRUE
per_drug,GSK-1838705A,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,453,228,225,212.840629354296,Uncategorized,TRUE
per_drug,GSK-1904529A,auc,Higher AUC indicates lower ex vivo sensitivity / greater relative resistance.,707,542,520,165,155,452,226,226,248.743523803259,Uncategorized,TRUE
