gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,ranking_metric,neg_log10_adjP
HNMT,2.62667330927561,6.40515028901734,7.54012120320889,2.52485869518116e-12,4.75279400780901e-08,17.4914239311323,Upregulated_in_PRFT_high,11.5977629223454,7.32305100817747
AIM2,1.59098986901899,4.79267456647399,7.27672971934595,1.14008338930588e-11,1.0730464860147e-07,16.0643898961962,Upregulated_in_PRFT_high,10.9430633818294,6.96938146332542
ZCCHC11,-0.557047834803507,11.3688277456647,-7.16457784422377,2.1488424871338e-11,1.34832703259356e-07,15.4646086770774,Downregulated_in_PRFT_high,-10.6677954176755,6.87020475822718
C6orf153,0.273949933172965,8.6349225433526,6.96444340912427,6.57609927746591e-11,2.45365469598077e-07,14.40656284452,Not_significant,10.1820316390005,6.61018655578255
POLE4,0.739616867147836,7.57327861271676,6.93732518018786,7.64252877813641e-11,2.45365469598077e-07,14.2644426516016,Upregulated_in_PRFT_high,10.1167629172519,6.61018655578255
SEC11C,0.905151630580072,7.8439,6.93315885679778,7.82082882271814e-11,2.45365469598077e-07,14.2426347992515,Upregulated_in_PRFT_high,10.1067472195669,6.61018655578255
MOSC1,2.39884448008555,7.52698554913295,6.87750669646141,1.06348831839945e-10,2.85987201507874e-07,13.9520248625862,Upregulated_in_PRFT_high,9.97326727612564,6.54365340197193
ATG4A,0.422136193531151,7.94563930635838,6.83212923534044,1.36503679273613e-10,3.21193157330812e-07,13.7160284693213,Not_significant,9.86485564264013,6.49323371546411
SARS,0.374660665597455,10.1288352601156,6.78092442697355,1.80723449222469e-10,3.77993134240418e-07,13.4507745017197,Not_significant,9.74298549322099,6.42251608849235
HCCS,0.398246257685128,7.98164971098266,6.75971605325136,2.02930007208824e-10,3.8199544556989e-07,13.3412386451582,Not_significant,9.692653729203,6.41794181503504
C8orf56,-1.24200382250735,1.20974104046243,-6.67342463705661,3.24522680532643e-10,5.55346812576952e-07,12.8975782638321,Downregulated_in_PRFT_high,-9.48875494544,6.25543571643026
RGL3,1.4301185244587,2.29358092485549,6.63894314861766,3.91127761668191e-10,6.13549082136836e-07,12.7212085833816,Upregulated_in_PRFT_high,9.4076813573759,6.21215068925556
SEC23B,0.471842796043852,10.570961849711,6.58153578925364,5.33063128163527e-10,7.28050660823339e-07,12.4287498115396,Not_significant,9.27322135647132,6.13783839960108
SEC61A2,-0.601466506281728,8.36241445086705,-6.57862553751229,5.41474142133805e-10,7.28050660823339e-07,12.4139630733013,Downregulated_in_PRFT_high,-9.26642227809081,6.13783839960108
CLTCL1,2.40108503074046,7.24138439306358,6.54799643042446,6.38311777099436e-10,8.01038726141318e-07,12.258571384627,Upregulated_in_PRFT_high,9.19496714259493,6.09634648748264
PREB,0.417086928628727,9.57768612716763,6.51023289422881,7.81400820172796e-10,9.19318064933294e-07,12.0675713530696,Not_significant,9.10712613726745,6.03653420575541
SEPT6,-0.713873643410835,12.9773069364162,-6.47025629676563,9.6727403118175e-10,1.07105684488031e-06,11.8660904951998,Downregulated_in_PRFT_high,-9.01445047175923,5.97018747896954
SPR,1.35969006950014,4.4071387283237,6.44820625034254,1.08774780187325e-09,1.13754247902567e-06,11.755274878238,Upregulated_in_PRFT_high,8.96347178565904,5.94403237659438
ETV6,-0.545843517775969,12.6679867052023,-6.41576171906118,1.29228358242367e-09,1.2803129555549e-06,11.5926317697002,Downregulated_in_PRFT_high,-8.88864217305326,5.89268385983813
SRGAP1,1.58885899492116,6.08598901734104,6.39971616091178,1.40697111559443e-09,1.32424121399747e-06,11.5123780994343,Upregulated_in_PRFT_high,8.85171481831985,5.87803289981587
ELOVL3,1.68746399358461,2.77804161849711,6.34851411282957,1.84402082563324e-09,1.58965328015458e-06,11.2570971587574,Upregulated_in_PRFT_high,8.73423417850662,5.79869758947565
HERPUD1,0.710107137129123,10.4003849710983,6.34709542377433,1.85786082466005e-09,1.58965328015458e-06,11.2500416158569,Upregulated_in_PRFT_high,8.73098682282141,5.79869758947565
SATB2,1.67990863405507,4.73065838150289,6.32377177953038,2.10058527292857e-09,1.71919205120032e-06,11.1341841020304,Upregulated_in_PRFT_high,8.67765968365199,5.76467560550162
LRRC37B2,-0.418973523122153,9.96509884393064,-6.31016948764263,2.25625380394309e-09,1.723723483064e-06,11.0667363822121,Not_significant,-8.64661204854856,5.76353240174289
BAALC,-2.82762759957229,8.03051502890173,-6.30740391709705,2.2892630193689e-09,1.723723483064e-06,11.0530340030819,Downregulated_in_PRFT_high,-8.64030430723881,5.76353240174289
CTSH,1.53149851643948,8.80350462427746,6.29002123001125,2.50787230903837e-09,1.81569955174378e-06,10.9669934266449,Upregulated_in_PRFT_high,8.60069457983964,5.74095601364249
MT1X,1.18884295642877,5.23742023121387,6.25858984308665,2.95641640681763e-09,2.02413359547523e-06,10.8117851354828,Upregulated_in_PRFT_high,8.52923439624244,5.69376082688018
CA2,1.57539321037157,9.29094046242774,6.25510072599236,3.01082345268309e-09,2.02413359547523e-06,10.7945853891867,Upregulated_in_PRFT_high,8.52131470970593,5.69376082688018
CHMP2A,0.438549051055899,9.43167456647399,6.2473531536551,3.13517411627814e-09,2.03505232982137e-06,10.7564145761951,Not_significant,8.50373833501221,5.6914244187432
MED8,0.346817989842309,8.38864624277457,6.234581912635,3.35125102699636e-09,2.10279831107265e-06,10.6935569239093,Not_significant,8.47479303991879,5.67720238047049
TOX,-1.24994188719592,8.42996069364162,-6.21138383098412,3.78176825814668e-09,2.29638728036623e-06,10.5795841951905,Downregulated_in_PRFT_high,-8.42230508767811,5.63895486734442
SELS,0.377763619353123,8.5063387283237,6.20313741546579,3.94753002518641e-09,2.3221345373159e-06,10.539132924712,Not_significant,8.40367455803324,5.63411262218518
NDUFB9,0.539002151831079,10.1985716763006,6.17450729762292,4.58029800376197e-09,2.61271301887319e-06,10.3989531313477,Upregulated_in_PRFT_high,8.33910626497013,5.58290829068005
GMPPA,0.42636114675223,8.77989306358382,6.16204601060984,4.88586920729263e-09,2.70504711641401e-06,10.3380662839847,Not_significant,8.31105816309147,5.56782516596577
TMEM106A,-0.498781809676537,10.2980849710983,-6.13773243384302,5.54077204880571e-09,2.97998551562053e-06,10.2194902368243,Not_significant,-8.25642971664793,5.52578584683024
LRG1,1.57770295375569,7.24535433526012,6.11378524165693,6.26974115119186e-09,3.27837798416765e-06,10.1029893070235,Upregulated_in_PRFT_high,8.20275038882312,5.48434097542245
DUSP27,-2.63917661053194,4.45194913294798,-6.10092019678285,6.69939691339642e-09,3.40836344588579e-06,10.0405206855684,Downregulated_in_PRFT_high,-8.1739642911757,5.46745410107473
C2orf7,0.579244092488647,6.77766011560694,6.07831030065347,7.52554978505516e-09,3.65134601600755e-06,9.9309359637347,Upregulated_in_PRFT_high,8.12346176684458,5.43754700963524
FLJ22536,-2.29876642608928,4.55535202312139,-6.07729398333596,7.56494340333055e-09,3.65134601600755e-06,9.92601617688953,Downregulated_in_PRFT_high,-8.12119431677671,5.43754700963524
CTSG,2.59955792568834,10.1287526011561,6.05303555168459,8.56760856773506e-09,3.94345089395433e-06,9.80874124629191,Upregulated_in_PRFT_high,8.06714038353428,5.40412356288093
C1orf151,0.45670422346968,8.80850462427746,6.04983277976506,8.70936456028554e-09,3.94345089395433e-06,9.79328008428732,Not_significant,8.06001353018507,5.40412356288093
DHTKD1,-0.504766867147806,10.1978751445087,-6.04784263890482,8.79860484201454e-09,3.94345089395433e-06,9.78367544323171,Downregulated_in_PRFT_high,-8.05558618665099,5.40412356288093
PPP1R7,0.286910425020064,9.3365774566474,6.04165826927302,9.08167985875057e-09,3.97566375956095e-06,9.75384185183038,Not_significant,8.0418338116212,5.40059035303283
TMEM39A,0.401144092488648,9.40709537572254,6.03189126645031,9.54702512716454e-09,4.01179577959437e-06,9.70676522191848,Not_significant,8.02013193439807,5.39666118284321
ANKRD35,1.82974037690458,3.89074566473988,6.03100357974769,9.59045952410468e-09,4.01179577959437e-06,9.70248901415469,Upregulated_in_PRFT_high,8.01816058323583,5.39666118284321
JUP,-1.43239599037689,10.9727132947977,-6.01976376509176,1.01574645540282e-08,4.15661114706581e-06,9.64837885711143,Downregulated_in_PRFT_high,-7.9932146845336,5.38126060204721
ULK4,-0.653868176958022,7.67410751445087,-6.01407947620195,1.04565983245986e-08,4.18797886940946e-06,9.62103844697888,Downregulated_in_PRFT_high,-7.98060957446757,5.37799551823532
C9orf64,0.909603047313574,7.05316531791908,6.00833339750815,1.07677563650909e-08,4.22275512117647e-06,9.59341766894241,Upregulated_in_PRFT_high,7.96787477950324,5.37440410271086
SNX24,1.29601753541835,5.3227289017341,5.99062093496074,1.17851228387686e-08,4.52741127177511e-06,9.50838247297085,Upregulated_in_PRFT_high,7.92866588637501,5.34415005223556
PARK7,0.301564033680856,10.4948826589595,5.96422192856345,1.34784849333816e-08,5.07438000771951e-06,9.38194441007427,Not_significant,7.87035892249295,5.294617012661
CINP,0.310181061213601,8.23373468208093,5.95810132795726,1.39039150288962e-08,5.13190777458711e-06,9.35268126341458,Not_significant,7.85686289499454,5.28972115692451
MARVELD2,1.60628460304732,3.69772427745665,5.95014016348799,1.44770123272617e-08,5.24067846246875e-06,9.31464729024618,Upregulated_in_PRFT_high,7.83932105579513,5.28061248526197
TMEM214,0.347812510024079,10.7450231213873,5.93888663198603,1.53267758928359e-08,5.44360810201401e-06,9.26094041950527,Not_significant,7.81454919277856,5.26411314821138
TGM2,1.66669442662391,6.61534913294798,5.91674802829789,1.71435041511103e-08,5.90166245686187e-06,9.15547777121265,Upregulated_in_PRFT_high,7.76590040306929,5.22902563341864
IGSF3,1.38169383854585,3.36597630057804,5.91559734199837,1.72434889039207e-08,5.90166245686187e-06,9.15000319629817,Upregulated_in_PRFT_high,7.76337485809236,5.22902563341864
