module,module_color,cor_with_PRFT_score,P.Value,FDR,module_size,selection_type
MEred,red,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,446,FDR_significant
MEtan,tan,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,158,FDR_significant
MEmagenta,magenta,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,228,FDR_significant
MEblue,blue,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,934,FDR_significant
MEgreen,green,0.288642950017872,0.000117501734999294,0.000352505204997882,646,not_selected
MEblack,black,0.26700211709493,0.000383632392008271,0.000986483293735553,445,not_selected
MEcyan,cyan,0.260512061208573,0.000536917420676748,0.00120806419652268,66,not_selected
MEgrey60,grey60,0.235744329358906,0.00179394113350858,0.00322909404031544,44,not_selected
MEgreenyellow,greenyellow,0.173277396340605,0.0226160116722061,0.0339240175083092,176,not_selected
MEgrey,grey,0.130955841941467,0.0859112517478819,0.110457323675848,1689,not_selected
MEyellow,yellow,0.086326606650986,0.258759777074215,0.291104749208492,688,not_selected
MEturquoise,turquoise,-0.0519932142502751,0.496906021814965,0.496906021814965,974,not_selected
MEmidnightblue,midnightblue,-0.0713027078041214,0.351218214221978,0.371878109176212,54,not_selected
MElightcyan,lightcyan,-0.0950675974930008,0.213435539368762,0.256122647242514,54,not_selected
MEsalmon,salmon,-0.141112241207602,0.0640453922775632,0.0886782354612414,85,not_selected
MEbrown,brown,-0.210926370228671,0.00534286411123714,0.00874286854566078,718,not_selected
MEpurple,purple,-0.240430143220865,0.00144099786423295,0.00288199572846591,214,not_selected
MEpink,pink,-0.434269977765104,2.38161857839138e-09,3.00407813153733e-08,381,not_selected
