module_color,gene_symbol,GS_PRFT,GS_PRFT_P,MM,MM_P,logFC,P.Value,adj.P.Val,module_cor_with_PRFT,module_P,module_FDR,selection_type
blue,HNMT,0.578265326754549,7.99962572355931e-17,0.474828878365855,4.10358849043028e-11,2.62667330927561,2.52485869518116e-12,4.75279400780901e-08,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,ELL2,0.577660332415147,8.75996063660365e-17,0.447988776573026,6.39772005021123e-10,0.827303982892291,1.19861584833597e-05,0.000406766458458406,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,CTSG,0.563802087236816,6.66712070926617e-16,0.785068358285206,2.07262528795616e-37,2.59955792568834,8.56760856773506e-09,3.94345089395433e-06,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,HERPUD1,0.560960745466973,9.99122291364289e-16,0.660098357079836,5.17786926518814e-23,0.710107137129123,1.85786082466005e-09,1.58965328015458e-06,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,LRG1,0.559176620877229,1.28551544503002e-15,0.616150526630513,1.82837527141477e-19,1.57770295375569,6.26974115119186e-09,3.27837798416765e-06,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
red,POLE4,0.54156670259449,1.42952226295539e-14,0.650403196963421,3.52558829452223e-22,0.739616867147836,7.64252877813641e-11,2.45365469598077e-07,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
tan,SRGN,0.531593556287217,5.26134275722479e-14,0.7200306587411,6.18648783731429e-29,1.26023051323179,5.4511315732654e-08,1.24495243272235e-05,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
red,SLC45A4,0.527460483672864,8.91709363812905e-14,0.431988670029446,2.94686105225484e-09,0.758812951082621,8.10285002083362e-08,1.55701698077696e-05,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
tan,MOSC1,0.524015838045011,1.37664966122497e-13,0.707754272138066,1.33750873239461e-27,2.39884448008555,1.06348831839945e-10,2.85987201507874e-07,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
magenta,GAS2L3,0.520741157293057,2.07087391448605e-13,0.494177773570223,4.86056271368935e-12,1.4192823710238,1.61035325375821e-07,2.38687320068855e-05,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,CLU,0.519422358404606,2.4380007782902e-13,0.579844328149005,6.30621662292109e-17,1.8358850842021,7.00363087935784e-07,6.431041349904e-05,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
red,SATB2,0.518797458431385,2.63337730782462e-13,0.466889479845052,9.48111818049195e-11,1.67990863405507,2.10058527292857e-09,1.71919205120032e-06,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,CSTA,0.51536582203438,4.01005452503631e-13,0.516666036678979,3.42130375833396e-13,1.77503151563755,4.41007700932172e-07,4.82515653780726e-05,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,AIM2,0.506706350524972,1.13509193437864e-12,0.597362759614083,4.1238327116464e-18,1.59098986901899,1.14008338930588e-11,1.0730464860147e-07,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,FTL,0.506576704373256,1.15265680915607e-12,0.782237902783374,5.55829025924135e-37,0.70114300989043,1.98652398986386e-08,6.56040834828022e-06,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
tan,ANKRD35,0.502990645734072,1.75814986636014e-12,0.634768727430201,6.73942587411448e-21,1.82974037690458,9.59045952410468e-09,4.01179577959437e-06,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,CLCN5,0.502128303299609,1.94459717749071e-12,0.556316727344903,1.9194460533533e-15,1.08760530606792,3.56855473220208e-08,9.33228223393158e-06,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,SNX24,0.502037354481918,1.96534680723681e-12,0.481443070550644,2.00892350356409e-11,1.29601753541835,1.17851228387686e-08,4.52741127177511e-06,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,SDF2L1,0.500552681649817,2.33611576571052e-12,0.588024248439554,1.80133671897734e-17,0.712318898690207,1.42861984965929e-07,2.19277442528011e-05,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,ALOX5AP,0.498230054379904,3.05623882546896e-12,0.727463256654445,8.87334035083122e-30,1.21900920876773,1.69017949427439e-06,0.000117401988192698,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,RNASE3,0.495709350020457,4.08169281861117e-12,0.780661685715221,9.56644559184553e-37,1.33021753541836,0.000127199408863059,0.00206592033860071,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
