gene_symbol,logFC,adj.P.Val,HR,Cox_P.Value,Cox_FDR,module_color,GS_PRFT,MM,covered_in_datasets,recommended_scenario,covered_in_selected_scenario
CLCN5,1.08760530606792,9.33228223393158e-06,1.37625168518902,0.000238876185293601,0.02731303564718,blue,0.502128303299609,0.556316727344903,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
ITGB2,0.609050320769873,0.0213845287454373,1.26286653945102,0.00160666873957786,0.0676606530548089,blue,0.31835570959956,0.793690693997142,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
MYO7A,2.00952591553062,2.33750394466792e-05,1.12855485557825,0.00308628936883044,0.0829265484229593,blue,0.461081693492427,0.755048863248043,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
KCNE1,1.52555414327721,0.000307710946105265,1.14672190987975,0.00313149203834951,0.0829265484229593,blue,0.353184479275999,0.773771581569455,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
BCL2L11,0.738014287623651,0.000309390735169603,1.37316637534346,0.0036106603854253,0.0922007919849675,blue,0.461713904663751,0.597377811754442,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
ARHGEF5,0.90606315156376,0.00407656844816622,1.18574393620093,0.00397887130872097,0.0933222646468398,magenta,0.329150111827013,0.536616213999613,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
THBS1,1.64783198342692,0.000919450173511676,1.11619655290665,0.00458842157434836,0.0933222646468398,blue,0.382993953996544,0.538903044557444,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
TRIM32,1.14250906174821,0.000279159906783064,1.19974473824489,0.00525220760863102,0.0933222646468398,magenta,0.358883100230155,0.568247306070845,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
PMM1,0.809639214113885,0.000685909969566383,1.280621121326,0.00557854783590569,0.0933222646468398,blue,0.394988470714257,0.718484449152474,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
VDR,0.923480914194081,0.00396327576241502,1.17761695883446,0.00574290859365168,0.0933222646468398,blue,0.333785847009514,0.821602969767998,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
SAT1,0.579624458700913,0.00691553440183226,1.28136844114987,0.00595518822476291,0.0946213240156774,blue,0.324506317577425,0.693453541549857,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
HOXB5,1.42390557337611,0.0389886902058824,1.08526015779098,0.00632811142372872,0.09548001439507,magenta,0.307756155629944,0.711051783602303,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
SLC8A1,1.20092929697943,0.0100053704415739,1.11485101819418,0.00675079299320229,0.09548001439507,blue,0.303705943280787,0.829637460943332,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
FTH1,0.501355172413822,0.00192258690261964,1.3707195778314,0.00681046256524275,0.09548001439507,blue,0.372974649286778,0.683128877674607,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
SEL1L3,0.956977425821995,6.2425725033359e-05,1.24942250636294,0.00726673654734172,0.0999176275259487,magenta,0.446890482482015,0.588168590825189,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
HOXB6,1.65510765838013,0.0247591299212738,1.07503769753769,0.00836391688584037,0.10699691649313,magenta,0.334226421220389,0.722221770927909,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
FGR,1.04552080994388,0.00960461657416806,1.13454755102825,0.00914420484508385,0.109062475512059,blue,0.318708873526673,0.881464797510606,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
ACOX2,1.15729751403369,0.00277004062744401,1.12568373874483,0.00915209584716577,0.109062475512059,blue,0.326747532862965,0.514476169632077,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
CTSD,0.767571959369167,0.000292066989995951,1.2511297879695,0.0114423507519531,0.122108668472335,red,0.44123675736831,0.740895765809705,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
ITGAM,1.09304223469663,0.00086440541042111,1.15870933624712,0.0122676264435188,0.125305041530227,blue,0.409687325491734,0.867221690440123,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
MYOF,1.71872123763701,0.00180744896447536,1.09295672194673,0.0129774145408917,0.127917426256861,blue,0.333967937754688,0.824144023749334,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
SLC16A3,0.509761467522068,0.0238956334584343,1.24143315887586,0.0134179118451253,0.127917426256861,blue,0.304080962533572,0.660791294086102,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
CCL22,0.919494814220799,0.00236698871233217,1.14470681010331,0.0202010106341098,0.164133211402142,blue,0.300851833726916,0.52802327940938,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
TNFSF12-TNFSF13,0.877284161988797,0.00369001639488641,1.15615189349971,0.0289995631551249,0.194697004910436,red,0.385734088387096,0.671654325726104,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
NEDD9,0.572118016573121,0.00453913268080512,1.28735508697384,0.0294396107505207,0.194901126727985,blue,0.31402491615488,0.68318715450128,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
KIAA0513,0.806835458433593,0.00492806091843498,1.15879337524536,0.031041552922596,0.19544944851639,blue,0.309238748252501,0.83187870576096,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
PRKCD,0.636566907244072,0.00090429521415632,1.24436957983494,0.0355102876701985,0.207884424239797,red,0.452912133809011,0.739077785795677,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
PI4K2A,0.960579804865021,5.72241235512175e-05,1.19618754937431,0.0412300675996139,0.221334875696405,blue,0.425332529076482,0.569003767764302,GSE37642_GPL570;GSE12417_GPL570,Scenario_B_GPL570_two_cohorts,TRUE
