model,term,n,events,HR,lower95,upper95,P_value,C_index,AIC,PH_global_p,PH_assumption_pass
Model 1,age,151,94,1.0305150048768,1.01440735508156,1.0468784260647,0.000184322526065088,0.683900282451185,790.3636780056,0.417935002962163,yes
Model 1,risk_score,151,94,2.54222376068029,1.42899246831973,4.52269818956204,0.00150103527936525,0.683900282451185,790.3636780056,0.417935002962163,yes
Model 1,sexMALE,151,94,0.838269253789401,0.556262226104695,1.26324475916577,0.399153515764199,0.683900282451185,790.3636780056,0.417935002962163,yes
Model 2,WBC_log10,150,94,1.36385317121892,0.954649266849378,1.94845954135886,0.0882008750730399,0.685675239160144,788.1034158129,0.462066782860486,yes
Model 2,age,150,94,1.03318850909498,1.01660090596137,1.0500467676806,7.69249901622315e-05,0.685675239160144,788.1034158129,0.462066782860486,yes
Model 2,risk_score,150,94,2.17570921799882,1.20680165436435,3.92252578057525,0.0097361231694808,0.685675239160144,788.1034158129,0.462066782860486,yes
Model 2,sexMALE,150,94,0.817998981656533,0.542715916147473,1.23291452135946,0.337200855723805,0.685675239160144,788.1034158129,0.462066782860486,yes
Model 3,WBC_log10,148,92,1.27004752771947,0.882713076122864,1.82734431640142,0.197792505920816,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 3,age,148,92,1.03148293124231,1.01460674724776,1.04863982063033,0.000230630292864656,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 3,cytogenetic_riskIntermediate/Normal,148,92,1.56226594029129,0.768879387018214,3.17432735147108,0.217435157927565,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 3,cytogenetic_riskPoor,148,92,1.95216203565269,0.882609983487246,4.31780365590975,0.0986063939862042,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 3,risk_score,148,92,1.94916376435082,1.03324699440224,3.67699049776205,0.0393066278940365,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 3,sexMALE,148,92,0.833223737694702,0.548740589623313,1.26519125828565,0.391904446423009,0.686188698674218,770.355972374735,0.331819615243544,yes
Model 4,FLT3_statusmutated_or_positive,143,91,1.57839941580018,0.939906970921655,2.65062904401634,0.0844112768368266,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,IDH1_statusmutated_or_positive,143,91,0.861787111433694,0.489633246008751,1.51680269158021,0.60608008872262,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,NPM1_statusmutated_or_positive,143,91,0.547100843027268,0.301908836468369,0.991422894216964,0.0467715792560599,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,WBC_log10,143,91,1.26451406087568,0.843556768977922,1.89554025165335,0.255844009729928,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,age,143,91,1.03573080551095,1.01863998282834,1.0531083793764,3.54285873141088e-05,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,risk_score,143,91,3.34897914157695,1.69986461309041,6.59797327642878,0.000476852212249465,0.712043301759134,749.178845791712,0.681352815193792,yes
Model 4,sexMALE,143,91,0.893744203889777,0.585499352457275,1.36426914672781,0.602672238584913,0.712043301759134,749.178845791712,0.681352815193792,yes
